mp-id;formula;structure_type;cations;valences;CNs
mp-565994;WO3;mp-565994;['W', 'W', 'W', 'W'];[6, 6, 6, 6];['6', '6', '6', '6']
mp-18773;WO3;mp-565994;['W', 'W', 'W', 'W'];[6, 6, 6, 6];['6', '6', '6', '6']
mp-19443;WO3;mp-565994;['W', 'W'];[6, 6];['6', '6']
mp-19033;WO3;mp-565994;['W', 'W', 'W', 'W'];[6, 6, 6, 6];['6', '6', '6', '6']
mp-18856;MoO3;mp-565994;['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6']
mp-19390;WO3;mp-565994;['W'];[6];['6']
mp-190;ReO3;mp-565994;['Re'];[6];['6']
mp-547271;ReO3;mp-565994;['Re', 'Re'];[6, 6];['6', '6']
mp-375;UO3;mp-565994;['U'];[6];['6']
mp-2605;CaO;mp-2605;['Ca'];[2];['6']
mp-1224;HgO;mp-2605;['Hg', 'Hg', 'Hg', 'Hg'];[2, 2, 2, 2];['2', '2', '2', '2']
mp-21394;EuO;mp-2605;['Eu'];[2];['6']
mp-10688;CeO;mp-2605;['Ce'];[2];['6']
mp-1265;MgO;mp-2605;['Mg'];[2];['6']
mp-2472;SrO;mp-2605;['Sr'];[2];['6']
mp-1216;YbO;mp-2605;['Yb'];[2];['6']
mp-1342;BaO;mp-2605;['Ba'];[2];['6']
mp-1132;CdO;mp-2605;['Cd'];[2];['6']
mp-2723;IrO2;mp-2723;['Ir', 'Ir'];[4, 4];['6', '6']
mp-856;SnO2;mp-2723;['Sn', 'Sn'];[4, 4];['6', '6']
mp-550172;SnO2;mp-2723;['Sn', 'Sn'];[4, 4];['6', '6']
mp-470;GeO2;mp-2723;['Ge', 'Ge'];[4, 4];['6', '6']
mp-996;OsO2;mp-2723;['Os', 'Os'];[4, 4];['6', '6']
mp-19177;CrO2;mp-2723;['Cr', 'Cr'];[4, 4];['6', '6']
mp-725;RhO2;mp-2723;['Rh', 'Rh'];[4, 4];['6', '6']
mp-20725;PbO2;mp-2723;['Pb', 'Pb'];[4, 4];['6', '6']
mp-825;RuO2;mp-2723;['Ru', 'Ru'];[4, 4];['6', '6']
mp-2364;PaO2;mp-2364;['Pa'];[4];['8']
mp-1394;Rb2O;mp-2364;['Rb', 'Rb'];[1, 1];['4', '4']
mp-20194;CeO2;mp-2364;['Ce'];[4];['8']
mp-971;K2O;mp-2364;['K', 'K'];[1, 1];['4', '4']
mp-1959;PuO2;mp-2364;['Pu'];[4];['8']
mp-2352;Na2O;mp-2364;['Na', 'Na'];[1, 1];['4', '4']
mp-643;ThO2;mp-2364;['Th'];[4];['8']
mp-20633;PbO2;mp-2364;['Pb', 'Pb', 'Pb', 'Pb'];[4, 4, 4, 4];['6', '6', '6', '6']
mp-6922;SiO2;mp-6922;['Si', 'Si', 'Si'];[4, 4, 4];['4', '4', '4']
mp-7000;SiO2;mp-6922;['Si', 'Si', 'Si'];[4, 4, 4];['4', '4', '4']
mp-223;GeO2;mp-6922;['Ge', 'Ge', 'Ge'];[4, 4, 4];['4', '4', '4']
mp-733;GeO2;mp-6922;['Ge', 'Ge', 'Ge'];[4, 4, 4];['4', '4', '4']
mp-10851;SiO2;mp-6922;['Si', 'Si', 'Si'];[4, 4, 4];['4', '4', '4']
mp-6945;SiO2;mp-6945;['Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4];['4', '4', '4', '4']
