mp-id;formula;structure_type;cations;valences;CNs
mp-18799;YbVO4;mp-18799;['V', 'V', 'Yb', 'Yb'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-19133;YVO4;mp-18799;['V', 'V', 'Y', 'Y'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-18993;LuVO4;mp-18799;['V', 'V', 'Lu', 'Lu'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-12387;YbAsO4;mp-18799;['As', 'As', 'Yb', 'Yb'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-8615;NbBO4;mp-18799;['B', 'B', 'Nb', 'Nb'];[3, 3, 5, 5];['4', '4', '8', '8']
mp-8058;YAsO4;mp-18799;['As', 'As', 'Y', 'Y'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-19323;SmVO4;mp-18799;['V', 'V', 'Sm', 'Sm'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-13576;EuAsO4;mp-18799;['As', 'As', 'Eu', 'Eu'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-18956;SmCrO4;mp-18799;['Cr', 'Cr', 'Sm', 'Sm'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-5767;DyPO4;mp-18799;['P', 'P', 'Dy', 'Dy'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-4624;TaBO4;mp-18799;['B', 'B', 'Ta', 'Ta'];[3, 3, 5, 5];['4', '4', '8', '8']
mp-4179;YbPO4;mp-18799;['P', 'P', 'Yb', 'Yb'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-631040;EuCrO4;mp-18799;['Cr', 'Cr', 'Eu', 'Eu'];[6, 6, 2, 2];['4', '4', '8', '8']
mp-19121;TbVO4;mp-18799;['V', 'V', 'Tb', 'Tb'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-546125;ScAsO4;mp-18799;['Sc', 'As', 'As', 'Sc'];[3, 5, 5, 3];['8', '4', '4', '8']
mp-24916;GdCrO4;mp-18799;['Cr', 'Cr', 'Gd', 'Gd'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-18960;ErVO4;mp-18799;['V', 'V', 'Er', 'Er'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-19240;ErCrO4;mp-18799;['Cr', 'Cr', 'Er', 'Er'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-4006;ErPO4;mp-18799;['P', 'P', 'Er', 'Er'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-18734;HoVO4;mp-18799;['V', 'V', 'Ho', 'Ho'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-19169;PrVO4;mp-18799;['V', 'V', 'Pr', 'Pr'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-19023;YbCrO4;mp-18799;['Cr', 'Cr', 'Yb', 'Yb'];[6, 6, 2, 2];['4', '4', '8', '8']
mp-19272;TbCrO4;mp-18799;['Cr', 'Cr', 'Tb', 'Tb'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-4340;TbPO4;mp-18799;['P', 'P', 'Tb', 'Tb'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-19126;NdCrO4;mp-18799;['Cr', 'Cr', 'Nd', 'Nd'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-18812;NdVO4;mp-18799;['V', 'V', 'Nd', 'Nd'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-5632;DyAsO4;mp-18799;['As', 'As', 'Dy', 'Dy'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-4609;HfSiO4;mp-18799;['Si', 'Si', 'Hf', 'Hf'];[4, 4, 4, 4];['4', '4', '8', '8']
mp-18825;YCrO4;mp-18799;['Cr', 'Cr', 'Y', 'Y'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-2940;LuPO4;mp-18799;['P', 'P', 'Lu', 'Lu'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-24908;TmCrO4;mp-18799;['Cr', 'Cr', 'Tm', 'Tm'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-19360;LuCrO4;mp-18799;['Cr', 'Cr', 'Lu', 'Lu'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-25140;GdVO4;mp-18799;['V', 'V', 'Gd', 'Gd'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-18784;DyVO4;mp-18799;['V', 'V', 'Dy', 'Dy'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-18863;PrCrO4;mp-18799;['Cr', 'Cr', 'Pr', 'Pr'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-19162;LaVO4;mp-18799;['V', 'V', 'La', 'La'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-5884;TmPO4;mp-18799;['P', 'P', 'Tm', 'Tm'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-7644;LuAsO4;mp-18799;['As', 'As', 'Lu', 'Lu'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-12944;HoAsO4;mp-18799;['As', 'As', 'Ho', 'Ho'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-3248;TbAsO4;mp-18799;['As', 'As', 'Tb', 'Tb'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-4790;ThGeO4;mp-18799;['Ge', 'Ge', 'Th', 'Th'];[4, 4, 4, 4];['4', '4', '8', '8']
mp-19076;HoCrO4;mp-18799;['Cr', 'Cr', 'Ho', 'Ho'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-19215;CaCrO4;mp-18799;['Ca', 'Ca', 'Cr', 'Cr'];[2, 2, 6, 6];['8', '8', '4', '4']
mp-19247;ScVO4;mp-18799;['Sc', 'Sc', 'V', 'V'];[3, 3, 5, 5];['8', '8', '4', '4']
mp-4820;ZrSiO4;mp-18799;['Si', 'Si', 'Zr', 'Zr'];[4, 4, 4, 4];['4', '4', '8', '8']
mp-505290;EuVO4;mp-18799;['V', 'V', 'Eu', 'Eu'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-18754;DyCrO4;mp-18799;['Cr', 'Cr', 'Dy', 'Dy'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-4104;HoPO4;mp-18799;['P', 'P', 'Ho', 'Ho'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-12929;SmAsO4;mp-18799;['As', 'As', 'Sm', 'Sm'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-5836;ThSiO4;mp-18799;['Si', 'Si', 'Th', 'Th'];[4, 4, 4, 4];['4', '4', '8', '8']
mp-613172;VBiO4;mp-18799;['Bi', 'V', 'V', 'Bi'];[3, 5, 5, 3];['8', '4', '4', '8']
mp-19068;TmVO4;mp-18799;['V', 'V', 'Tm', 'Tm'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-4200;ScPO4;mp-18799;['P', 'P', 'Sc', 'Sc'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-5132;YPO4;mp-18799;['P', 'P', 'Y', 'Y'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-557914;DyTaO4;mp-557914;['Dy', 'Dy', 'Ta', 'Ta'];[3, 3, 5, 5];['8', '8', '4', '4']
mp-7550;CeNbO4;mp-557914;['Nb', 'Nb', 'Ce', 'Ce'];[5, 5, 3, 3];['4', '4', '8', '8']
mp-19048;BaWO4;mp-557914;['Ba', 'Ba', 'W', 'W'];[2, 2, 6, 6];['8', '8', '4', '4']
mp-18834;SrMoO4;mp-557914;['Sr', 'Sr', 'Mo', 'Mo'];[2, 2, 6, 6];['8', '8', '4', '4']
