mp-id;formula;structure_type;cations;valences;CNs
mp-542313;Ce2O3;mp-542313;['Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4']
mp-542877;Mn2O3;mp-542313;['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4']
mp-637224;Pu2O3;mp-542313;['Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];['5', '5', '5', '5', '5', '5', '5', '5', '6', '5', '5', '5', '5', '6', '6', '6']
mp-7048;Al2O3;mp-7048;['Al', 'Al', 'Al', 'Al'];[3, 3, 3, 3];['4', '4', '6', '6']
mp-886;Ga2O3;mp-7048;['Ga', 'Ga', 'Ga', 'Ga'];[3, 3, 3, 3];['6', '6', '4', '4']
mp-555434;As2O5;mp-555434;['As', 'As', 'As', 'As', 'As', 'As', 'As', 'As'];[5, 5, 5, 5, 5, 5, 5, 5];['6', '4', '4', '4', '6', '6', '4', '6']
mp-1788;As2O5;mp-555434;['As', 'As', 'As', 'As', 'As', 'As', 'As', 'As'];[5, 5, 5, 5, 5, 5, 5, 5];['4', '4', '4', '4', '6', '6', '6', '6']
mp-579377;W8O21;mp-579377;['W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W'];[5, 5, 5, 5, 5, 6, 5, 6, 5, 5, 5, 6, 5, 5, 5, 5, 5, 6, 5, 5, 5, 6, 6, 5, 5, 6, 6, 5, 5, 5, 5, 5];['6', '6', '7', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '7', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '7', '7', '6']
mp-23261;I2O5;mp-23261;['I', 'I', 'I', 'I', 'I', 'I', 'I', 'I'];[5, 5, 5, 5, 5, 5, 5, 5];['5', '5', '5', '5', '6', '6', '6', '6']
mp-622101;Mo4O11;mp-622101;['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5];['4', '4', '4', '4', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
mp-561240;Mo5O14;mp-561240;['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4']
