mp-id;formula;structure_type;cations;valences;CNs
mp-825;RuO2;mp-825;['Ru', 'Ru'];[4, 4];['6', '6']
mp-856;SnO2;mp-825;['Sn', 'Sn'];[4, 4];['6', '6']
mp-2723;IrO2;mp-825;['Ir', 'Ir'];[4, 4];['6', '6']
mp-725;RhO2;mp-825;['Rh', 'Rh'];[4, 4];['6', '6']
mp-996;OsO2;mp-825;['Os', 'Os'];[4, 4];['6', '6']
mp-19177;CrO2;mp-825;['Cr', 'Cr'];[4, 4];['6', '6']
mp-470;GeO2;mp-825;['Ge', 'Ge'];[4, 4];['6', '6']
mp-20725;PbO2;mp-825;['Pb', 'Pb'];[4, 4];['6', '6']
mp-550172;SnO2;mp-825;['Sn', 'Sn'];[4, 4];['6', '6']
mp-547271;ReO3;mp-547271;['Re', 'Re'];[6, 6];['6', '6']
mp-19443;WO3;mp-547271;['W', 'W'];[6, 6];['6', '6']
mp-18773;WO3;mp-547271;['W', 'W', 'W', 'W'];[6, 6, 6, 6];['6', '6', '6', '6']
mp-565994;WO3;mp-547271;['W', 'W', 'W', 'W'];[6, 6, 6, 6];['6', '6', '6', '6']
mp-18856;MoO3;mp-547271;['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6']
mp-19033;WO3;mp-547271;['W', 'W', 'W', 'W'];[6, 6, 6, 6];['6', '6', '6', '6']
mp-18937;V2O3;mp-18937;['V', 'V', 'V', 'V'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-458;Ti2O3;mp-18937;['Ti', 'Ti', 'Ti', 'Ti'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-1143;Al2O3;mp-18937;['Al', 'Al', 'Al', 'Al'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-24972;Fe2O3;mp-18937;['Fe', 'Fe', 'Fe', 'Fe'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-715514;V2O3;mp-18937;['V', 'V', 'V', 'V'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-19399;Cr2O3;mp-18937;['Cr', 'Cr', 'Cr', 'Cr'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-7000;SiO2;mp-7000;['Si', 'Si', 'Si'];[4, 4, 4];['4', '4', '4']
mp-6922;SiO2;mp-7000;['Si', 'Si', 'Si'];[4, 4, 4];['4', '4', '4']
mp-10851;SiO2;mp-7000;['Si', 'Si', 'Si'];[4, 4, 4];['4', '4', '4']
mp-733;GeO2;mp-7000;['Ge', 'Ge', 'Ge'];[4, 4, 4];['4', '4', '4']
mp-223;GeO2;mp-7000;['Ge', 'Ge', 'Ge'];[4, 4, 4];['4', '4', '4']
mp-8352;SiO2;mp-8352;['Si', 'Si'];[4, 4];['4', '4']
mp-8059;SiO2;mp-8352;['Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4, 4, 4, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4']
mp-6945;SiO2;mp-8352;['Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4];['4', '4', '4', '4']
mp-556961;SiO2;mp-8352;['Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4, 4, 4, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4']
mp-971;K2O;mp-971;['K', 'K'];[1, 1];['4', '4']
mp-2352;Na2O;mp-971;['Na', 'Na'];[1, 1];['4', '4']
mp-1394;Rb2O;mp-971;['Rb', 'Rb'];[1, 1];['4', '4']
mp-20633;PbO2;mp-971;['Pb', 'Pb', 'Pb', 'Pb'];[4, 4, 4, 4];['6', '6', '6', '6']
mp-1692;CuO;mp-1692;['Cu', 'Cu'];[2, 2];['4', '4']
mp-1336;PdO;mp-1692;['Pd', 'Pd'];[2, 2];['4', '4']
mp-704645;CuO;mp-1692;['Cu', 'Cu'];[2, 2];['4', '4']
mp-2133;ZnO;mp-2133;['Zn', 'Zn'];[2, 2];['4', '4']
mp-2542;BeO;mp-2133;['Be', 'Be'];[2, 2];['4', '4']
mp-19128;CoO;mp-2133;['Co', 'Co'];[2, 2];['4', '4']
mp-18759;Mn3O4;mp-18759;['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn'];[2, 2, 3, 3, 3, 3];['4', '4', '6', '6', '6', '6']
mp-18748;Co3O4;mp-18759;['Co', 'Co', 'Co', 'Co', 'Co', 'Co'];[3, 3, 3, 3, 2, 2];['6', '6', '6', '6', '4', '4']
mp-19306;Fe3O4;mp-18759;['Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe'];[3, 3, 3, 3, 2, 2];['6', '6', '6', '6', '4', '4']
mp-557;TeO2;mp-557;['Te', 'Te', 'Te', 'Te'];[4, 4, 4, 4];['4', '4', '4', '4']
mp-561224;TeO2;mp-557;['Te', 'Te', 'Te', 'Te'];[4, 4, 4, 4];['4', '4', '4', '4']
mp-2739;TeO2;mp-557;['Te', 'Te', 'Te', 'Te'];[4, 4, 4, 4];['4', '4', '4', '4']
mp-1968;La2O3;mp-1968;['La', 'La'];[3, 3];['8', '8']
mp-11107;Ac2O3;mp-1968;['Ac', 'Ac'];[3, 3];['8', '8']
mp-556549;Bi2O3;mp-556549;['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi'];[3, 3, 3, 3, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '4', '4']
mp-2136;Sb2O3;mp-556549;['Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb'];[3, 3, 3, 3, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '4', '4']
mp-555891;SiO2;mp-555891;['Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4];['4', '4', '4', '4']
mp-7648;SiO2;mp-555891;['Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4];['4', '4', '4', '4']
mp-7087;SiO2;mp-7087;['Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4];['4', '4', '4', '4']
mp-555235;SiO2;mp-7087;['Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4];['4', '4', '4', '4']
mp-556605;ZrO2;mp-556605;['Zr', 'Zr', 'Zr', 'Zr'];[4, 4, 4, 4];['7', '7', '7', '7']
mp-27726;SO2;mp-556605;['S', 'S'];[4, 4];['2', '2']
mp-2858;ZrO2;mp-2858;['Zr', 'Zr', 'Zr', 'Zr'];[4, 4, 4, 4];['7', '7', '7', '7']
mp-352;HfO2;mp-2858;['Hf', 'Hf', 'Hf', 'Hf'];[4, 4, 4, 4];['7', '7', '7', '7']
mp-561637;VO2;mp-561637;['V', 'V', 'V', 'V'];[4, 4, 4, 4];['6', '6', '6', '6']
mp-554278;TiO2;mp-561637;['Ti', 'Ti', 'Ti', 'Ti'];[4, 4, 4, 4];['6', '6', '6', '6']
