mp-id;formula;structure_type;cations;valences;CNs
mp-19399;Cr2O3;mp-19399;['Cr', 'Cr', 'Cr', 'Cr'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-1143;Al2O3;mp-19399;['Al', 'Al', 'Al', 'Al'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-24972;Fe2O3;mp-19399;['Fe', 'Fe', 'Fe', 'Fe'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-18937;V2O3;mp-19399;['V', 'V', 'V', 'V'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-715514;V2O3;mp-19399;['V', 'V', 'V', 'V'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-996;OsO2;mp-996;['Os', 'Os'];[4, 4];['6', '6']
mp-20725;PbO2;mp-996;['Pb', 'Pb'];[4, 4];['6', '6']
mp-19177;CrO2;mp-996;['Cr', 'Cr'];[4, 4];['6', '6']
mp-470;GeO2;mp-996;['Ge', 'Ge'];[4, 4];['6', '6']
mp-19306;Fe3O4;mp-19306;['Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe'];[3, 3, 3, 3, 2, 2];['6', '6', '6', '6', '4', '4']
mp-18759;Mn3O4;mp-19306;['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn'];[2, 2, 3, 3, 3, 3];['4', '4', '6', '6', '6', '6']
mp-18748;Co3O4;mp-19306;['Co', 'Co', 'Co', 'Co', 'Co', 'Co'];[3, 3, 3, 3, 2, 2];['6', '6', '6', '6', '4', '4']
mp-561224;TeO2;mp-561224;['Te', 'Te', 'Te', 'Te'];[4, 4, 4, 4];['4', '4', '4', '4']
mp-2739;TeO2;mp-561224;['Te', 'Te', 'Te', 'Te'];[4, 4, 4, 4];['4', '4', '4', '4']
mp-557;TeO2;mp-561224;['Te', 'Te', 'Te', 'Te'];[4, 4, 4, 4];['4', '4', '4', '4']
mp-223;GeO2;mp-223;['Ge', 'Ge', 'Ge'];[4, 4, 4];['4', '4', '4']
mp-733;GeO2;mp-223;['Ge', 'Ge', 'Ge'];[4, 4, 4];['4', '4', '4']
mp-556549;Bi2O3;mp-556549;['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi'];[3, 3, 3, 3, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '4', '4']
mp-2136;Sb2O3;mp-556549;['Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb'];[3, 3, 3, 3, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '4', '4']
mp-361;Cu2O;mp-361;['Cu', 'Cu', 'Cu', 'Cu'];[1, 1, 1, 1];['2', '2', '2', '2']
mp-353;Ag2O;mp-361;['Ag', 'Ag', 'Ag', 'Ag'];[1, 1, 1, 1];['2', '2', '2', '2']
mp-22633;Pb3O4;mp-22633;['Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb'];[2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4];['3', '3', '3', '3', '3', '3', '3', '3', '6', '6', '6', '6']
mp-21452;Pb3O4;mp-22633;['Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb'];[2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4];['3', '3', '3', '3', '3', '3', '3', '3', '6', '6', '6', '6']
mp-1692;CuO;mp-1692;['Cu', 'Cu'];[2, 2];['4', '4']
mp-704645;CuO;mp-1692;['Cu', 'Cu'];[2, 2];['4', '4']
mp-2184;As2O3;mp-2184;['As', 'As', 'As', 'As', 'As', 'As', 'As', 'As'];[3, 3, 3, 3, 3, 3, 3, 3];['3', '3', '3', '3', '3', '3', '3', '3']
mp-1999;Sb2O3;mp-2184;['Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb'];[3, 3, 3, 3, 3, 3, 3, 3];['3', '3', '3', '3', '3', '3', '3', '3']
mp-23262;Bi2O3;mp-23262;['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi'];[3, 3, 3, 3, 3, 3, 3, 3];['5', '5', '5', '5', '5', '5', '5', '5']
mp-561637;VO2;mp-561637;['V', 'V', 'V', 'V'];[4, 4, 4, 4];['6', '6', '6', '6']
mp-22869;ClO3;mp-22869;['Cl', 'Cl', 'Cl', 'Cl'];[7, 7, 5, 5];['4', '4', '2', '2']
mp-562613;P2O5;mp-562613;['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P'];[5, 5, 5, 5, 5, 5, 5, 5];['4', '4', '4', '4', '4', '4', '4', '4']
mp-2789;NO2;mp-2789;['N', 'N', 'N', 'N', 'N', 'N'];[4, 4, 4, 4, 4, 4];['2', '2', '2', '2', '2', '2']
mp-23207;ClO2;mp-23207;['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl'];[4, 4, 4, 4, 4, 4, 4, 4];['2', '2', '2', '2', '2', '2', '2', '2']
mp-18922;Mn5O8;mp-18922;['Mn', 'Mn', 'Mn', 'Mn', 'Mn'];[3, 3, 3, 3, 4];['6', '6', '6', '6', '6']
mp-565320;V8O15;mp-565320;['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'];[4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 3, 4];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
mp-565758;V9O17;mp-565758;['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'];[4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4, 3];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
mp-19128;CoO;mp-19128;['Co', 'Co'];[2, 2];['4', '4']
mp-1705;Sb2O5;mp-1705;['Sb', 'Sb', 'Sb', 'Sb'];[5, 5, 5, 5];['6', '6', '6', '6']
mp-1478;Cu4O3;mp-1478;['Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu'];[2, 2, 2, 2, 1, 1, 1, 1];['4', '4', '4', '4', '2', '2', '2', '2']
mp-2173;P2O5;mp-2173;['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P'];[5, 5, 5, 5, 5, 5, 5, 5];['4', '4', '4', '4', '4', '4', '4', '4']
mp-559545;SeO2;mp-559545;['Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se'];[4, 4, 4, 4, 4, 4, 4, 4];['3', '3', '3', '3', '3', '3', '3', '3']
mp-1771;NO2;mp-1771;['N', 'N', 'N', 'N'];[4, 4, 4, 4];['2', '2', '2', '2']
mp-19326;MnO2;mp-19326;['Mn', 'Mn', 'Mn', 'Mn'];[4, 4, 4, 4];['6', '6', '6', '6']
mp-560882;SeO2;mp-560882;['Se', 'Se', 'Se', 'Se'];[4, 4, 4, 4];['3', '3', '3', '3']
mp-27519;SeO3;mp-27519;['Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se'];[6, 6, 6, 6, 6, 6, 6, 6];['4', '4', '4', '4', '4', '4', '4', '4']
mp-2125;TeO2;mp-2125;['Te', 'Te', 'Te', 'Te', 'Te', 'Te', 'Te', 'Te'];[4, 4, 4, 4, 4, 4, 4, 4];['5', '5', '5', '5', '5', '5', '5', '5']
mp-510127;V6O11;mp-510127;['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'];[4, 4, 4, 4, 3, 3, 3, 3, 4, 4, 4, 4];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
mp-25643;V2O5;mp-25643;['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'];[5, 5, 5, 5, 5, 5, 5, 5];['5', '5', '5', '5', '5', '5', '5', '5']
mp-2552;TeO3;mp-2552;['Te', 'Te'];[6, 6];['6', '6']
mp-726;SeO2;mp-726;['Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se'];[4, 4, 4, 4, 4, 4, 4, 4];['3', '3', '3', '3', '3', '3', '3', '3']
mp-8377;TeO2;mp-8377;['Te', 'Te', 'Te', 'Te'];[4, 4, 4, 4];['4', '4', '4', '4']
mp-12177;Te2O5;mp-12177;['Te', 'Te', 'Te', 'Te'];[4, 4, 6, 6];['5', '5', '6', '6']
mp-540783;OsO4;mp-540783;['Os', 'Os'];[8, 8];['4', '4']
mp-20633;PbO2;mp-20633;['Pb', 'Pb', 'Pb', 'Pb'];[4, 4, 4, 4];['6', '6', '6', '6']
mp-546190;Ag2O3;mp-546190;['Ag', 'Ag', 'Ag', 'Ag'];[3, 3, 3, 3];['4', '4', '4', '4']
mp-7812;GeO2;mp-7812;['Ge', 'Ge', 'Ge', 'Ge'];[4, 4, 4, 4];['4', '4', '4', '4']
mp-622497;V3O5;mp-622497;['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'];[4, 4, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
mp-567080;V4O7;mp-567080;['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'];[4, 4, 4, 3, 3, 3, 3, 4];['6', '6', '6', '6', '6', '6', '6', '6']
mp-31050;Cl2O7;mp-31050;['Cl', 'Cl', 'Cl', 'Cl'];[7, 7, 7, 7];['4', '4', '4', '4']
mp-19921;PbO;mp-19921;['Pb', 'Pb'];[2, 2];['4', '4']
mp-644514;MnO2;mp-644514;['Mn', 'Mn', 'Mn'];[4, 4, 4];['6', '6', '6']
mp-19395;MnO2;mp-19395;['Mn', 'Mn', 'Mn', 'Mn'];[4, 4, 4, 4];['6', '6', '6', '6']
mp-698;U3O8;mp-698;['U', 'U', 'U'];[5, 5, 6];['7', '7', '6']
mp-2452;P2O5;mp-2452;['P', 'P', 'P', 'P'];[5, 5, 5, 5];['4', '4', '4', '4']
mp-1605;Ag3O4;mp-1605;['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag'];[3, 3, 3, 3, 2, 2];['4', '4', '4', '4', '4', '4']
mp-29537;Cl2O;mp-29537;['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl'];[1, 1, 1, 1, 1, 1, 1, 1];['2', '2', '2', '2', '2', '2', '2', '2']
mp-541846;P4O9;mp-541846;['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P'];[3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];['3', '3', '3', '3', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4']
