mp-id;formula;cations;valences;CNs
mp-17981;Eu3IrO7;['Eu', 'Eu', 'Eu', 'Eu', 'Eu', 'Eu', 'Ir', 'Ir'];[3, 3, 3, 3, 3, 3, 5, 5];['10', '10', '9', '9', '9', '9', '6', '6']
mp-505305;La3MoO7;['Mo', 'Mo', 'Mo', 'Mo', 'La', 'La', 'La', 'La', 'La', 'La', 'La', 'La', 'La', 'La', 'La', 'La'];[5, 5, 5, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '8', '9', '9', '9', '9', '8', '8', '8', '7', '7', '7', '7']
mp-17753;Nd3RuO7;['Ru', 'Ru', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd'];[5, 5, 3, 3, 3, 3, 3, 3];['6', '6', '9', '9', '9', '9', '8', '8']
mp-3222;La3RuO7;['Ru', 'Ru', 'La', 'La', 'La', 'La', 'La', 'La'];[5, 5, 3, 3, 3, 3, 3, 3];['6', '6', '9', '9', '9', '9', '8', '8']
mp-566289;Nd3MoO7;['Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Mo', 'Mo', 'Mo', 'Mo'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 5, 5, 5];['8', '9', '9', '7', '7', '9', '7', '7', '8', '9', '8', '8', '6', '6', '6', '6']
mp-22365;Eu3RuO7;['Ru', 'Ru', 'Eu', 'Eu', 'Eu', 'Eu', 'Eu', 'Eu'];[5, 5, 3, 3, 3, 3, 3, 3];['6', '6', '9', '9', '9', '9', '8', '8']
mp-14964;Pr3TaO7;['Pr', 'Pr', 'Pr', 'Pr', 'Pr', 'Pr', 'Ta', 'Ta'];[3, 3, 3, 3, 3, 3, 5, 5];['8', '8', '9', '9', '9', '9', '6', '6']
mp-5447;Sm3OsO7;['Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Os', 'Os'];[3, 3, 3, 3, 3, 3, 5, 5];['8', '8', '9', '9', '9', '9', '6', '6']
mp-3727;Nd3NbO7;['Nb', 'Nb', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd', 'Nd'];[5, 5, 3, 3, 3, 3, 3, 3];['6', '6', '9', '9', '8', '8', '9', '9']
mp-555639;Sm3OsO7;['Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Sm', 'Os', 'Os', 'Os', 'Os', 'Os', 'Os', 'Os', 'Os'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5];['8', '8', '9', '7', '9', '7', '9', '6', '9', '8', '7', '9', '8', '7', '7', '7', '9', '7', '9', '6', '6', '6', '9', '7', '6', '6', '6', '6', '6', '6', '6', '6']
mp-31354;Pr3OsO7;['Pr', 'Pr', 'Pr', 'Pr', 'Pr', 'Pr', 'Os', 'Os'];[3, 3, 3, 3, 3, 3, 5, 5];['8', '8', '9', '9', '9', '9', '6', '6']
mp-510013;Pr3MoO7;['Mo', 'Mo', 'Mo', 'Mo', 'Pr', 'Pr', 'Pr', 'Pr', 'Pr', 'Pr', 'Pr', 'Pr', 'Pr', 'Pr', 'Pr', 'Pr'];[5, 5, 5, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '8', '9', '9', '9', '9', '8', '8', '8', '7', '7', '7', '7']
