mp-id;formula;structure_type;cations;valences;CNs
mp-5223;GdAlO3;mp-5223;['Al', 'Al', 'Al', 'Al', 'Gd', 'Gd', 'Gd', 'Gd'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12']
mp-4582;NdRhO3;mp-5223;['Rh', 'Rh', 'Rh', 'Rh', 'Nd', 'Nd', 'Nd', 'Nd'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9']
mp-4789;PrRhO3;mp-5223;['Rh', 'Rh', 'Rh', 'Rh', 'Pr', 'Pr', 'Pr', 'Pr'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9']
mp-18769;CeVO3;mp-5223;['V', 'V', 'V', 'V', 'Ce', 'Ce', 'Ce', 'Ce'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9']
mp-16796;Sr2GdRuO6;mp-5223;['Sr', 'Sr', 'Sr', 'Sr', 'Ru', 'Ru', 'Gd', 'Gd'];[2, 2, 2, 2, 5, 5, 3, 3];['12', '12', '12', '12', '6', '6', '6', '6']
mp-19208;La2MnCoO6;mp-5223;['Mn', 'Mn', 'Co', 'Co', 'La', 'La', 'La', 'La'];[4, 4, 2, 2, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12']
mp-25017;NaNdMnWO6;mp-5223;['Na', 'Na', 'Mn', 'Mn', 'Nd', 'Nd', 'W', 'W'];[1, 1, 2, 2, 3, 3, 6, 6];['12', '12', '6', '6', '12', '12', '6', '6']
mp-11905;LiNd2IrO6;mp-5223;['Li', 'Li', 'Nd', 'Nd', 'Nd', 'Nd', 'Ir', 'Ir'];[1, 1, 3, 3, 3, 3, 5, 5];['6', '6', '9', '9', '9', '9', '6', '6']
mp-19063;ErCrO3;mp-5223;['Cr', 'Cr', 'Cr', 'Cr', 'Er', 'Er', 'Er', 'Er'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9']
mp-10339;SrNbO3;mp-5223;['Sr', 'Sr', 'Sr', 'Sr', 'Nb', 'Nb', 'Nb', 'Nb'];[2, 2, 2, 2, 4, 4, 4, 4];['12', '12', '12', '12', '6', '6', '6', '6']
mp-24881;TbCoO3;mp-5223;['Co', 'Co', 'Co', 'Co', 'Tb', 'Tb', 'Tb', 'Tb'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9']
mp-19269;NdCrO3;mp-5223;['Cr', 'Cr', 'Cr', 'Cr', 'Nd', 'Nd', 'Nd', 'Nd'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12']
mp-15887;Sr2YIrO6;mp-5223;['Sr', 'Sr', 'Sr', 'Sr', 'Y', 'Y', 'Ir', 'Ir'];[2, 2, 2, 2, 3, 3, 5, 5];['12', '12', '12', '12', '6', '6', '6', '6']
mp-3626;SrZrO3;mp-5223;['Sr', 'Sr', 'Sr', 'Sr', 'Zr', 'Zr', 'Zr', 'Zr'];[2, 2, 2, 2, 4, 4, 4, 4];['12', '12', '12', '12', '6', '6', '6', '6']
mp-972600;UCd(PbO3)2;mp-5223;['U', 'U', 'Cd', 'Cd', 'Pb', 'Pb', 'Pb', 'Pb'];[6, 6, 2, 2, 2, 2, 2, 2];['6', '6', '6', '6', '11', '11', '11', '11']
mp-10320;La2MgRhO6;mp-5223;['Mg', 'Mg', 'Rh', 'Rh', 'La', 'La', 'La', 'La'];[2, 2, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12']
mp-22329;NaNd2OsO6;mp-5223;['Na', 'Na', 'Nd', 'Nd', 'Nd', 'Nd', 'Os', 'Os'];[1, 1, 3, 3, 3, 3, 5, 5];['6', '6', '9', '9', '9', '9', '6', '6']
mp-566636;Ca2MnSbO6;mp-5223;['Ca', 'Ca', 'Ca', 'Ca', 'Mn', 'Mn', 'Sb', 'Sb'];[2, 2, 2, 2, 3, 3, 5, 5];['12', '12', '12', '12', '6', '6', '6', '6']
mp-12449;LiPr2OsO6;mp-5223;['Li', 'Li', 'Pr', 'Pr', 'Pr', 'Pr', 'Os', 'Os'];[1, 1, 3, 3, 3, 3, 5, 5];['6', '6', '9', '9', '9', '9', '6', '6']
mp-19598;GdCrO3;mp-5223;['Cr', 'Cr', 'Cr', 'Cr', 'Gd', 'Gd', 'Gd', 'Gd'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9']
mp-687081;YbCoO3;mp-5223;['Yb', 'Yb', 'Yb', 'Yb', 'Co', 'Co', 'Co', 'Co'];[3, 3, 3, 3, 3, 3, 3, 3];['12', '12', '12', '12', '6', '6', '6', '6']
mp-24849;PrCoO3;mp-5223;['Co', 'Co', 'Co', 'Co', 'Pr', 'Pr', 'Pr', 'Pr'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12']
mp-31117;NdScO3;mp-5223;['Nd', 'Nd', 'Nd', 'Nd', 'Sc', 'Sc', 'Sc', 'Sc'];[3, 3, 3, 3, 3, 3, 3, 3];['10', '10', '10', '10', '6', '6', '6', '6']
