mp-id;formula;structure_type;cations;valences;CNs
mp-2472;SrO;mp-2472;['Sr'];[2];['6']
mp-2605;CaO;mp-2472;['Ca'];[2];['6']
mp-1132;CdO;mp-2472;['Cd'];[2];['6']
mp-10688;CeO;mp-2472;['Ce'];[2];['6']
mp-1342;BaO;mp-2472;['Ba'];[2];['6']
mp-2352;Na2O;mp-2352;['Na', 'Na'];[1, 1];['4', '4']
mp-20194;CeO2;mp-2352;['Ce'];[4];['8']
mp-971;K2O;mp-2352;['K', 'K'];[1, 1];['4', '4']
mp-1394;Rb2O;mp-2352;['Rb', 'Rb'];[1, 1];['4', '4']
mp-886;Ga2O3;mp-886;['Ga', 'Ga', 'Ga', 'Ga'];[3, 3, 3, 3];['6', '6', '4', '4']
mp-7048;Al2O3;mp-886;['Al', 'Al', 'Al', 'Al'];[3, 3, 3, 3];['4', '4', '6', '6']
mp-223;GeO2;mp-223;['Ge', 'Ge', 'Ge'];[4, 4, 4];['4', '4', '4']
mp-733;GeO2;mp-223;['Ge', 'Ge', 'Ge'];[4, 4, 4];['4', '4', '4']
mp-1788;As2O5;mp-1788;['As', 'As', 'As', 'As', 'As', 'As', 'As', 'As'];[5, 5, 5, 5, 5, 5, 5, 5];['4', '4', '4', '4', '6', '6', '6', '6']
mp-555434;As2O5;mp-1788;['As', 'As', 'As', 'As', 'As', 'As', 'As', 'As'];[5, 5, 5, 5, 5, 5, 5, 5];['6', '4', '4', '4', '6', '6', '4', '6']
mp-2254;Al2O3;mp-2254;['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];['4', '4', '6', '6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '6', '6', '6']
mp-18759;Mn3O4;mp-18759;['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn'];[2, 2, 3, 3, 3, 3];['4', '4', '6', '6', '6', '6']
mp-542313;Ce2O3;mp-542313;['Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4']
mp-556605;ZrO2;mp-556605;['Zr', 'Zr', 'Zr', 'Zr'];[4, 4, 4, 4];['8', '8', '8', '8']
mp-20633;PbO2;mp-20633;['Pb', 'Pb', 'Pb', 'Pb'];[4, 4, 4, 4];['6', '6', '6', '6']
mp-2133;ZnO;mp-2133;['Zn', 'Zn'];[2, 2];['4', '4']
mp-7812;GeO2;mp-7812;['Ge', 'Ge', 'Ge', 'Ge'];[4, 4, 4, 4];['4', '4', '4', '4']
mp-1986;ZnO;mp-1986;['Zn'];[2];['4']
mp-1143;Al2O3;mp-1143;['Al', 'Al', 'Al', 'Al'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-561240;Mo5O14;mp-561240;['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4']
mp-20725;PbO2;mp-20725;['Pb', 'Pb'];[4, 4];['6', '6']
mp-622101;Mo4O11;mp-622101;['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5];['4', '4', '4', '4', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
mp-565489;Cr8O21;mp-565489;['Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr'];[6, 5, 5, 5, 5, 5, 5, 6];['4', '6', '4', '4', '4', '6', '4', '4']
