mp-id;formula;structure_type;cations;valences;CNs
mp-6474;Ba3MgNb2O9;mp-6474;['Mg', 'Nb', 'Nb', 'Ba', 'Ba', 'Ba'];[2, 5, 5, 2, 2, 2];['6', '6', '6', '12', '12', '12']
mp-20461;BaPbO3;mp-6474;['Ba', 'Ba', 'Pb', 'Pb'];[2, 2, 4, 4];['12', '12', '6', '6']
mp-7249;Ba3Nb2ZnO9;mp-6474;['Zn', 'Nb', 'Nb', 'Ba', 'Ba', 'Ba'];[2, 5, 5, 2, 2, 2];['6', '6', '6', '12', '12', '12']
mp-25013;Ba2MnMoO6;mp-6474;['Mn', 'Mo', 'Ba', 'Ba'];[2, 6, 2, 2];['6', '6', '12', '12']
mp-21309;MgTe(PbO3)2;mp-6474;['Mg', 'Te', 'Pb', 'Pb'];[2, 6, 2, 2];['6', '6', '12', '12']
mp-638406;Ba3MnNb2O9;mp-6474;['Mn', 'Nb', 'Nb', 'Ba', 'Ba', 'Ba'];[2, 5, 5, 2, 2, 2];['6', '6', '6', '12', '12', '12']
mp-7251;Ba2YNbO6;mp-6474;['Y', 'Nb', 'Ba', 'Ba'];[3, 5, 2, 2];['6', '6', '12', '12']
mp-5777;BaTiO3;mp-6474;['Ti', 'Ba'];[4, 2];['6', '12']
mp-19245;BaLaMn2O6;mp-6474;['Mn', 'Mn', 'Ba', 'La'];[4, 4, 2, 2];['6', '6', '12', '12']
mp-4651;SrTiO3;mp-6474;['Ti', 'Ti', 'Sr', 'Sr'];[4, 4, 2, 2];['6', '6', '12', '12']
mp-552729;KIO3;mp-6474;['K', 'I'];[1, 5];['12', '6']
mp-7971;Ba4Li(SbO4)3;mp-6474;['Li', 'Sb', 'Sb', 'Sb', 'Ba', 'Ba', 'Ba', 'Ba'];[1, 5, 5, 5, 2, 2, 2, 2];['6', '6', '6', '6', '12', '12', '12', '12']
mp-23482;BaBiO3;mp-6474;['Ba', 'Ba', 'Bi', 'Bi'];[2, 2, 5, 3];['12', '12', '6', '6']
mp-7375;KNbO3;mp-6474;['K', 'Nb'];[1, 5];['12', '6']
