mp-id;formula;structure_type;cations;valences;CNs;Connections depending on element, CN, and valence
mp-19306;Fe3O4;mp-19306;['Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe'];[3, 3, 3, 3, 2, 2];['6', '6', '6', '6', '4', '4'];{'Fe': {'val1:3': {'val2:3': {'CN1:6': {'CN2:6': {'no': 240, 'corner': 0, 'edge': 24, 'face': 0}}}, 'val2:2': {'CN1:6': {'CN2:4': {'no': 112, 'corner': 48, 'edge': 0, 'face': 0}}, 'CN1:4': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:2': {'val2:3': {'CN1:6': {'CN2:4': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:4': {'CN2:6': {'no': 112, 'corner': 48, 'edge': 0, 'face': 0}}}, 'val2:2': {'CN1:4': {'CN2:4': {'no': 56, 'corner': 0, 'edge': 0, 'face': 0}}}}}}
mp-18759;Mn3O4;mp-19306;['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn'];[2, 2, 3, 3, 3, 3];['4', '4', '6', '6', '6', '6'];{'Mn': {'val1:2': {'val2:2': {'CN1:4': {'CN2:4': {'no': 56, 'corner': 0, 'edge': 0, 'face': 0}}}, 'val2:3': {'CN1:4': {'CN2:6': {'no': 136, 'corner': 48, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:4': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:3': {'val2:2': {'CN1:4': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:4': {'no': 136, 'corner': 48, 'edge': 0, 'face': 0}}}, 'val2:3': {'CN1:6': {'CN2:6': {'no': 176, 'corner': 0, 'edge': 24, 'face': 0}}}}}}
mp-18748;Co3O4;mp-19306;['Co', 'Co', 'Co', 'Co', 'Co', 'Co'];[3, 3, 3, 3, 2, 2];['6', '6', '6', '6', '4', '4'];{'Co': {'val1:3': {'val2:3': {'CN1:6': {'CN2:6': {'no': 240, 'corner': 0, 'edge': 24, 'face': 0}}}, 'val2:2': {'CN1:6': {'CN2:4': {'no': 256, 'corner': 48, 'edge': 0, 'face': 0}}, 'CN1:4': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:2': {'val2:3': {'CN1:6': {'CN2:4': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:4': {'CN2:6': {'no': 256, 'corner': 48, 'edge': 0, 'face': 0}}}, 'val2:2': {'CN1:4': {'CN2:4': {'no': 56, 'corner': 0, 'edge': 0, 'face': 0}}}}}}
mp-31770;Fe3O4;mp-19306;['Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe'];[2, 2, 3, 3, 3, 3];['6', '6', '4', '6', '6', '4'];{'Fe': {'val1:2': {'val2:2': {'CN1:6': {'CN2:6': {'no': 48, 'corner': 0, 'edge': 4, 'face': 0}}}, 'val2:3': {'CN1:6': {'CN2:4': {'no': 56, 'corner': 24, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 96, 'corner': 0, 'edge': 16, 'face': 0}}, 'CN1:4': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:3': {'val2:2': {'CN1:6': {'CN2:4': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 96, 'corner': 0, 'edge': 16, 'face': 0}}, 'CN1:4': {'CN2:6': {'no': 56, 'corner': 24, 'edge': 0, 'face': 0}}}, 'val2:3': {'CN1:4': {'CN2:4': {'no': 56, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 56, 'corner': 24, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:4': {'no': 56, 'corner': 24, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 40, 'corner': 0, 'edge': 4, 'face': 0}}}}}}
mp-22633;Pb3O4;mp-22633;['Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb'];[2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4];['3', '3', '3', '3', '3', '3', '3', '3', '6', '6', '6', '6'];{'Pb': {'val1:2': {'val2:2': {'CN1:3': {'CN2:3': {'no': 216, 'corner': 16, 'edge': 0, 'face': 0}}}, 'val2:4': {'CN1:3': {'CN2:6': {'no': 192, 'corner': 64, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:3': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:4': {'val2:2': {'CN1:3': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:3': {'no': 192, 'corner': 64, 'edge': 0, 'face': 0}}}, 'val2:4': {'CN1:6': {'CN2:6': {'no': 56, 'corner': 0, 'edge': 8, 'face': 0}}}}}}
mp-21452;Pb3O4;mp-22633;['Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb'];[2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4];['3', '3', '3', '3', '3', '3', '3', '3', '6', '6', '6', '6'];{'Pb': {'val1:2': {'val2:2': {'CN1:3': {'CN2:3': {'no': 232, 'corner': 16, 'edge': 0, 'face': 0}}}, 'val2:4': {'CN1:3': {'CN2:6': {'no': 160, 'corner': 64, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:3': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:4': {'val2:2': {'CN1:3': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:3': {'no': 160, 'corner': 64, 'edge': 0, 'face': 0}}}, 'val2:4': {'CN1:6': {'CN2:6': {'no': 56, 'corner': 0, 'edge': 8, 'face': 0}}}}}}
mp-555434;As2O5;mp-555434;['As', 'As', 'As', 'As', 'As', 'As', 'As', 'As'];[5, 5, 5, 5, 5, 5, 5, 5];['6', '4', '4', '4', '6', '6', '4', '6'];{'As': {'val1:5': {'val2:5': {'CN1:6': {'CN2:6': {'no': 96, 'corner': 8, 'edge': 0, 'face': 0}, 'CN2:4': {'no': 192, 'corner': 32, 'edge': 0, 'face': 0}}, 'CN1:4': {'CN2:6': {'no': 192, 'corner': 32, 'edge': 0, 'face': 0}, 'CN2:4': {'no': 88, 'corner': 0, 'edge': 0, 'face': 0}}}}}}
mp-1788;As2O5;mp-555434;['As', 'As', 'As', 'As', 'As', 'As', 'As', 'As'];[5, 5, 5, 5, 5, 5, 5, 5];['4', '4', '4', '4', '6', '6', '6', '6'];{'As': {'val1:5': {'val2:5': {'CN1:4': {'CN2:4': {'no': 88, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 192, 'corner': 32, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:4': {'no': 192, 'corner': 32, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 96, 'corner': 8, 'edge': 0, 'face': 0}}}}}}
mp-22869;ClO3;mp-22869;['Cl', 'Cl', 'Cl', 'Cl'];[7, 7, 5, 5];['4', '4', '2', '2'];{'Cl': {'val1:7': {'val2:7': {'CN1:4': {'CN2:4': {'no': 32, 'corner': 0, 'edge': 0, 'face': 0}}}, 'val2:5': {'CN1:4': {'CN2:2': {'no': 56, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:2': {'CN2:4': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:5': {'val2:7': {'CN1:4': {'CN2:2': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:2': {'CN2:4': {'no': 56, 'corner': 0, 'edge': 0, 'face': 0}}}, 'val2:5': {'CN1:2': {'CN2:2': {'no': 32, 'corner': 0, 'edge': 0, 'face': 0}}}}}}
mp-30303;Bi4O7;mp-30303;['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi'];[5, 3, 3, 5, 3, 3, 3, 3];['6', '5', '5', '6', '7', '7', '8', '8'];{'Bi': {'val1:5': {'val2:5': {'CN1:6': {'CN2:6': {'no': 24, 'corner': 4, 'edge': 0, 'face': 0}}}, 'val2:3': {'CN1:6': {'CN2:5': {'no': 44, 'corner': 12, 'edge': 0, 'face': 0}, 'CN2:7': {'no': 36, 'corner': 8, 'edge': 4, 'face': 0}, 'CN2:8': {'no': 36, 'corner': 0, 'edge': 12, 'face': 0}}, 'CN1:5': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:7': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:8': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:3': {'val2:5': {'CN1:6': {'CN2:5': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:7': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:8': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:5': {'CN2:6': {'no': 44, 'corner': 12, 'edge': 0, 'face': 0}}, 'CN1:7': {'CN2:6': {'no': 36, 'corner': 8, 'edge': 4, 'face': 0}}, 'CN1:8': {'CN2:6': {'no': 36, 'corner': 0, 'edge': 12, 'face': 0}}}, 'val2:3': {'CN1:5': {'CN2:5': {'no': 22, 'corner': 0, 'edge': 2, 'face': 0}, 'CN2:7': {'no': 36, 'corner': 8, 'edge': 4, 'face': 0}, 'CN2:8': {'no': 36, 'corner': 4, 'edge': 8, 'face': 0}}, 'CN1:7': {'CN2:5': {'no': 36, 'corner': 8, 'edge': 4, 'face': 0}, 'CN2:7': {'no': 18, 'corner': 0, 'edge': 4, 'face': 0}, 'CN2:8': {'no': 40, 'corner': 0, 'edge': 16, 'face': 0}}, 'CN1:8': {'CN2:5': {'no': 36, 'corner': 4, 'edge': 8, 'face': 0}, 'CN2:7': {'no': 40, 'corner': 0, 'edge': 16, 'face': 0}, 'CN2:8': {'no': 22, 'corner': 0, 'edge': 4, 'face': 0}}}}}}
mp-504769;N2O5;mp-504769;['N', 'N', 'N', 'N'];[5, 5, 5, 5];['2', '3', '2', '3'];{'N': {'val1:5': {'val2:5': {'CN1:2': {'CN2:2': {'no': 40, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:3': {'no': 96, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:3': {'CN2:2': {'no': 96, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:3': {'no': 44, 'corner': 0, 'edge': 0, 'face': 0}}}}}}
