mp-id;formula;structure_type;cations;valences;CNs;Bond valence sum
mp-622497;V3O5;mp-622497;['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'];[4, 4, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];[1.6666666666666665, 2.0, 2.0, 1.6666666666666665, 2.0, 2.5, 2.5, 2.333333333333333, 1.6666666666666665, 1.6666666666666665, 1.6666666666666665, 1.6666666666666665, 2.0, 1.6666666666666665, 1.6666666666666665, 2.5, 2.0, 2.333333333333333, 2.5, 2.0]
mp-556754;Ti3O5;mp-622497;['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti'];[3, 3, 3, 3, 4, 4];['6', '6', '6', '6', '6', '6'];[1.6666666666666665, 2.333333333333333, 2.1666666666666665, 2.1666666666666665, 1.6666666666666665, 2.1666666666666665, 2.333333333333333, 1.6666666666666665, 2.1666666666666665, 1.6666666666666665]
mp-556549;Bi2O3;mp-556549;['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi'];[3, 3, 3, 3, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '4', '4'];[2.25, 2.25, 1.5, 1.5, 1.5, 2.25, 2.25, 2.25, 2.25, 2.25, 2.25, 1.5]
mp-2136;Sb2O3;mp-556549;['Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb'];[3, 3, 3, 3, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '4', '4'];[1.5, 1.5, 1.5, 1.5, 2.25, 2.25, 2.25, 2.25, 2.25, 2.25, 2.25, 2.25]
mp-8057;Ti3O5;mp-8057;['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti'];[4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '6', '6'];[2.333333333333333, 2.333333333333333, 1.6666666666666665, 1.6666666666666665, 1.6666666666666665, 1.6666666666666665, 2.1666666666666665, 2.1666666666666665, 2.1666666666666665, 2.1666666666666665]
mp-556480;Ti3O5;mp-8057;['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti'];[3, 3, 3, 3, 4, 4];['5', '6', '5', '6', '6', '6'];[1.9333333333333331, 2.1, 1.6, 1.6, 2.1, 2.3666666666666667, 2.0, 2.3666666666666667, 1.9333333333333331, 2.0]
mp-1968;La2O3;mp-1968;['La', 'La'];[3, 3];['8', '8'];[1.875, 1.875, 2.25]
mp-11107;Ac2O3;mp-1968;['Ac', 'Ac'];[3, 3];['8', '8'];[1.875, 1.875, 2.25]
mp-698;U3O8;mp-698;['U', 'U', 'U'];[5, 5, 6];['7', '7', '6'];[2.428571428571429, 2.428571428571429, 2.428571428571429, 1.4285714285714286, 2.0, 1.4285714285714286, 1.4285714285714286, 2.428571428571429]
mp-19066;W3O8;mp-698;['W', 'W', 'W'];[5, 5, 6];['7', '7', '6'];[2.428571428571429, 2.428571428571429, 2.428571428571429, 1.4285714285714286, 2.0, 2.428571428571429, 1.4285714285714286, 1.4285714285714286]
mp-555434;As2O5;mp-555434;['As', 'As', 'As', 'As', 'As', 'As', 'As', 'As'];[5, 5, 5, 5, 5, 5, 5, 5];['6', '4', '4', '4', '6', '6', '4', '6'];[2.0833333333333335, 2.0833333333333335, 2.0833333333333335, 1.6666666666666667, 1.6666666666666667, 2.0833333333333335, 1.6666666666666667, 2.0833333333333335, 2.0833333333333335, 2.0833333333333335, 2.0833333333333335, 1.6666666666666667, 2.0833333333333335, 2.0833333333333335, 2.0833333333333335, 2.0833333333333335, 2.0833333333333335, 2.0833333333333335, 2.0833333333333335, 2.0833333333333335]
mp-1788;As2O5;mp-555434;['As', 'As', 'As', 'As', 'As', 'As', 'As', 'As'];[5, 5, 5, 5, 5, 5, 5, 5];['4', '4', '4', '4', '6', '6', '6', '6'];[2.0833333333333335, 2.0833333333333335, 2.0833333333333335, 2.0833333333333335, 2.0833333333333335, 2.0833333333333335, 2.0833333333333335, 2.0833333333333335, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 2.0833333333333335, 2.0833333333333335, 2.0833333333333335, 2.0833333333333335, 2.0833333333333335, 2.0833333333333335, 2.0833333333333335, 2.0833333333333335]
mp-352;HfO2;mp-352;['Hf', 'Hf', 'Hf', 'Hf'];[4, 4, 4, 4];['7', '7', '7', '7'];[2.2857142857142856, 2.2857142857142856, 2.2857142857142856, 2.2857142857142856, 1.7142857142857142, 1.7142857142857142, 1.7142857142857142, 1.7142857142857142]
mp-2858;ZrO2;mp-352;['Zr', 'Zr', 'Zr', 'Zr'];[4, 4, 4, 4];['7', '7', '7', '7'];[1.7142857142857142, 1.7142857142857142, 2.2857142857142856, 2.2857142857142856, 2.2857142857142856, 2.2857142857142856, 1.7142857142857142, 1.7142857142857142]
mp-27273;Ti9O17;mp-27273;['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti'];[4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];[2.333333333333333, 2.333333333333333, 1.833333333333333, 1.833333333333333, 2.4999999999999996, 2.4999999999999996, 2.4999999999999996, 2.4999999999999996, 2.0, 2.0, 1.833333333333333, 1.833333333333333, 2.0, 2.0, 1.8333333333333333, 1.8333333333333333, 2.0, 2.0, 1.8333333333333333, 1.8333333333333333, 2.0, 2.0, 1.8333333333333333, 1.8333333333333333, 1.8333333333333333, 1.8333333333333333, 1.8333333333333333, 1.8333333333333333, 1.8333333333333333, 1.8333333333333333, 2.0, 2.0, 2.0, 2.0]
mp-565758;V9O17;mp-27273;['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'];[4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4, 3];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];[2.4999999999999996, 2.0, 1.8333333333333333, 2.4999999999999996, 1.833333333333333, 1.8333333333333333, 2.0, 1.8333333333333333, 1.8333333333333333, 2.0, 2.6666666666666665, 2.0, 1.833333333333333, 2.0, 1.833333333333333, 1.6666666666666665, 1.8333333333333333, 2.6666666666666665, 2.0, 2.0, 1.8333333333333333, 2.0, 1.833333333333333, 2.5, 1.8333333333333333, 1.8333333333333333, 1.6666666666666665, 1.833333333333333, 1.833333333333333, 1.8333333333333333, 2.0, 1.833333333333333, 2.5, 2.0]
mp-7048;Al2O3;mp-7048;['Al', 'Al', 'Al', 'Al'];[3, 3, 3, 3];['4', '4', '6', '6'];[1.75, 1.75, 2.0, 2.0, 2.25, 2.25]
mp-886;Ga2O3;mp-7048;['Ga', 'Ga', 'Ga', 'Ga'];[3, 3, 3, 3];['6', '6', '4', '4'];[2.0, 2.0, 2.25, 2.25, 1.75, 1.75]
mp-561637;VO2;mp-561637;['V', 'V', 'V', 'V'];[4, 4, 4, 4];['6', '6', '6', '6'];[1.3333333333333333, 1.3333333333333333, 2.6666666666666665, 2.6666666666666665, 2.0, 2.0, 2.0, 2.0]
mp-554278;TiO2;mp-561637;['Ti', 'Ti', 'Ti', 'Ti'];[4, 4, 4, 4];['6', '6', '6', '6'];[2.0, 2.0, 1.3333333333333333, 2.0, 2.6666666666666665, 1.3333333333333333, 2.6666666666666665, 2.0]
mp-1705;Sb2O5;mp-1705;['Sb', 'Sb', 'Sb', 'Sb'];[5, 5, 5, 5];['6', '6', '6', '6'];[1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 2.5, 2.5, 2.5, 2.5, 1.6666666666666667, 1.6666666666666667]
mp-10390;Ta2O5;mp-1705;['Ta', 'Ta', 'Ta', 'Ta'];[5, 5, 5, 5];['6', '6', '6', '6'];[2.5, 2.5, 2.5, 2.5, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667]
mp-504769;N2O5;mp-504769;['N', 'N', 'N', 'N'];[5, 5, 5, 5];['2', '3', '2', '3'];[2.5, 2.5, 1.6666666666666667, 2.5, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 2.5, 1.6666666666666667]
mp-726;SeO2;mp-726;['Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se'];[4, 4, 4, 4, 4, 4, 4, 4];['3', '3', '3', '3', '3', '3', '3', '3'];[1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 2.6666666666666665, 2.6666666666666665, 2.6666666666666665, 2.6666666666666665, 2.6666666666666665, 2.6666666666666665, 2.6666666666666665, 2.6666666666666665]
mp-1858;HfO2;mp-1858;['Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf'];[4, 4, 4, 4, 4, 4, 4, 4];['7', '7', '7', '7', '7', '7', '7', '7'];[2.2857142857142856, 2.2857142857142856, 2.2857142857142856, 2.2857142857142856, 2.2857142857142856, 2.2857142857142856, 2.2857142857142856, 2.2857142857142856, 1.7142857142857142, 1.7142857142857142, 1.7142857142857142, 1.7142857142857142, 1.7142857142857142, 1.7142857142857142, 1.7142857142857142, 1.7142857142857142]
mp-31770;Fe3O4;mp-31770;['Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe'];[2, 2, 3, 3, 3, 3];['6', '6', '4', '6', '6', '4'];[1.9166666666666665, 1.9166666666666665, 1.9166666666666665, 1.9166666666666665, 2.083333333333333, 2.083333333333333, 2.083333333333333, 2.083333333333333]
mp-541846;P4O9;mp-541846;['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P'];[3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];['3', '3', '3', '3', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];[2.25, 2.25, 2.25, 2.25, 2.25, 2.25, 2.25, 2.25, 2.25, 2.25, 2.25, 2.25, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 1.25, 1.25, 1.25, 1.25, 1.25, 1.25, 1.25, 1.25, 1.25, 1.25, 1.25, 1.25]
mp-561240;Mo5O14;mp-561240;['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4'];[1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.8333333333333335, 1.8333333333333335, 1.8333333333333335, 1.8333333333333335, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.8333333333333335, 1.8333333333333335, 1.8333333333333335, 1.8333333333333335, 1.8333333333333335, 1.8333333333333335, 1.8333333333333335, 1.8333333333333335, 1.8333333333333335, 1.8333333333333335, 1.8333333333333335, 1.8333333333333335]
mp-559545;SeO2;mp-559545;['Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se'];[4, 4, 4, 4, 4, 4, 4, 4];['3', '3', '3', '3', '3', '3', '3', '3'];[2.6666666666666665, 2.6666666666666665, 2.6666666666666665, 1.3333333333333333, 2.6666666666666665, 1.3333333333333333, 2.6666666666666665, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 2.6666666666666665, 2.6666666666666665, 2.6666666666666665]
mp-555822;W10O29;mp-555822;['W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W'];[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];[3.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.8333333333333335, 1.8333333333333335, 1.8333333333333335, 1.8333333333333335, 1.8333333333333335, 1.8333333333333335, 1.8333333333333335, 1.8333333333333335, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
