mp-id;formula;structure_type;cations;valences;CNs;Bond valence sum
mp-25643;V2O5;mp-25643;['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'];[5, 5, 5, 5, 5, 5, 5, 5];['6', '6', '6', '6', '5', '5', '5', '5'];[1.8333333333333335, 3.0, 2.5, 0.8333333333333334, 1.8333333333333335, 1.8333333333333335, 0.8333333333333334, 2.5, 3.0, 1.8333333333333335, 1.8333333333333335, 3.0, 2.5, 0.8333333333333334, 1.8333333333333335, 1.8333333333333335, 0.8333333333333334, 2.5, 3.0, 1.8333333333333335]
mp-622640;V3O7;mp-622640;['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'];[5, 5, 4, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 4, 4, 5, 4, 5];['2', '2', '6', '2', '2', '2', '6', '6', '6', '2', '6', '2', '2', '6', '6', '6', '6', '6'];[3.1666666666666665, 3.1666666666666665, 0.8333333333333334, 2.1666666666666665, 4.0, 1.6666666666666667, 2.1666666666666665, 1.6666666666666667, 3.1666666666666665, 4.0, 1.3333333333333333, 1.3333333333333333, 0.8333333333333334, 3.1666666666666665, 3.1666666666666665, 0.8333333333333334, 0.8333333333333334, 1.3333333333333333, 3.1666666666666665, 0.8333333333333334, 1.3333333333333333, 3.1666666666666665, 0, 3.1666666666666665, 1.6666666666666667, 2.1666666666666665, 4.0, 1.6666666666666667, 3.1666666666666665, 0.8333333333333334, 0, 0.8333333333333334, 2.1666666666666665, 1.3333333333333333, 0, 3.1666666666666665, 0, 1.3333333333333333, 3.1666666666666665, 0.8333333333333334, 4.0, 3.1666666666666665]
mp-1470;Nb12O29;mp-1470;['Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb'];[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 5, 5, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];[1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 2.5, 2.5, 2.5, 2.5, 2.5, 2.5, 3.166666666666667, 3.166666666666667, 3.166666666666667, 3.166666666666667, 2.5, 2.5, 2.5, 2.5, 2.3333333333333335, 2.3333333333333335, 2.3333333333333335, 2.3333333333333335, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 2.1666666666666665, 2.1666666666666665, 2.1666666666666665, 2.1666666666666665, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 1.6666666666666667, 2.5, 2.5]
mp-561397;SO3;mp-561397;['S', 'S', 'S', 'S'];[6, 6, 6, 6];['4', '4', '4', '4'];[1.5, 1.5, 1.5, 1.5, 3.0, 1.5, 1.5, 3.0, 1.5, 3.0, 1.5, 3.0]
mp-562065;PO2;mp-562065;['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P'];[4, 4, 4, 4, 4, 4, 4, 4];['4', '4', '3', '4', '3', '3', '3', '4'];[2.6666666666666665, 2.333333333333333, 2.333333333333333, 2.0, 2.333333333333333, 2.333333333333333, 2.0, 2.6666666666666665, 1.0, 2.333333333333333, 2.333333333333333, 1.0, 1.0, 2.333333333333333, 2.333333333333333, 1.0]
mp-706490;Mo9O26;mp-706490;['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[6, 5, 6, 6, 6, 5, 6, 6, 5, 5, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 5, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];[1.8333333333333335, 2.0, 3.0, 1.6666666666666667, 2.0, 1.8333333333333335, 2.0, 3.0, 2.0, 1.6666666666666667, 2.0, 2.0, 2.0, 1.6666666666666667, 2.0, 1.6666666666666667, 1.8333333333333335, 2.0, 1.8333333333333335, 1.8333333333333335, 2.0, 1.8333333333333335, 2.0, 2.0, 1.8333333333333335, 2.0, 2.0, 1.8333333333333335, 1.8333333333333335, 1.6666666666666667, 1.8333333333333335, 2.0, 2.0, 2.0, 1.8333333333333335, 2.0, 3.0, 2.0, 3.0, 1.8333333333333335, 2.0, 3.0, 2.0, 3.0, 1.8333333333333335, 1.8333333333333335, 2.0, 2.0, 2.0, 3.0, 1.6666666666666667, 1.6666666666666667, 2.0, 1.8333333333333335, 1.8333333333333335, 1.6666666666666667, 1.6666666666666667, 1.8333333333333335, 1.8333333333333335, 2.0, 1.8333333333333335, 1.8333333333333335, 2.0, 1.8333333333333335, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 1.8333333333333335, 2.0, 2.0, 2.0, 2.0, 2.0, 1.8333333333333335, 2.0, 2.0, 2.0, 2.0, 1.8333333333333335, 2.0, 2.0, 2.0, 2.0, 2.0, 1.8333333333333335, 2.0, 1.8333333333333335, 2.0, 2.0, 1.6666666666666667, 2.0, 2.0, 2.0, 1.8333333333333335, 2.0, 2.0, 1.8333333333333335, 2.0, 2.0, 2.0]
mp-642328;U13O34;mp-642328;['U', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'U', 'U'];[5, 5, 5, 6, 5, 5, 5, 6, 5, 6, 5, 5, 5];['7', '7', '7', '6', '7', '7', '6', '7', '7', '6', '7', '6', '7'];[2.428571428571429, 2.142857142857143, 2.261904761904762, 2.261904761904762, 2.571428571428571, 1.6666666666666667, 2.261904761904762, 1.4285714285714286, 1.4285714285714286, 2.0, 1.4285714285714286, 2.261904761904762, 2.5714285714285716, 2.142857142857143, 2.261904761904762, 1.4285714285714286, 2.5714285714285716, 1.4285714285714286, 1.7142857142857142, 2.428571428571429, 1.6666666666666667, 2.261904761904762, 2.571428571428571, 2.261904761904762, 1.4285714285714286, 1.4285714285714286, 2.261904761904762, 2.857142857142857, 1.4285714285714286, 1.4285714285714286, 2.142857142857143, 2.0, 1.4285714285714286, 2.142857142857143]
mp-27485;Tc2O7;mp-27485;['Tc', 'Tc', 'Tc', 'Tc', 'Tc', 'Tc', 'Tc', 'Tc'];[7, 7, 7, 7, 7, 7, 7, 7];['4', '4', '4', '4', '4', '4', '4', '4'];[1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 3.5, 3.5, 3.5, 3.5, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75, 1.75]
mp-2414;SO3;mp-2414;['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S'];[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];[1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 3.0, 3.0, 3.0, 3.0, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 3.0, 3.0, 3.0, 3.0, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 3.0, 3.0, 3.0, 3.0]
mp-510554;Nb12O29;mp-510554;['Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb'];[5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];[1.6666666666666667, 3.1666666666666665, 2.1666666666666665, 2.5, 1.5, 2.3333333333333335, 1.6666666666666667, 1.6666666666666667, 1.5, 1.6666666666666667, 2.5, 1.6666666666666667, 2.5, 1.6666666666666667, 1.6666666666666667, 3.166666666666667, 2.1666666666666665, 2.5, 1.5, 2.3333333333333335, 1.6666666666666667, 1.6666666666666667, 1.5, 1.6666666666666667, 2.5, 1.6666666666666667, 2.5, 1.6666666666666667, 1.6666666666666667]
