mp-id;formula;structure_type;cations;valences;CNs;Bond valence sum
mp-2920;LaAlO3;mp-2920;['Al', 'Al', 'La', 'La'];[3, 3, 3, 3];['6', '6', '12', '12'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-19207;Sr2CoWO6;mp-2920;['Co', 'Co', 'Sr', 'Sr', 'Sr', 'Sr', 'W', 'W'];[2, 2, 2, 2, 2, 2, 6, 6];['6', '6', '12', '12', '12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-7127;Ba2YbTaO6;mp-2920;['Ba', 'Ba', 'Yb', 'Ta'];[2, 2, 3, 5];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-6739;Ba2CaOsO6;mp-2920;['Ca', 'Ba', 'Ba', 'Os'];[2, 2, 2, 6];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-13932;Ba2DyReO6;mp-2920;['Ba', 'Ba', 'Dy', 'Re'];[2, 2, 3, 5];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-12644;Ba2LuNbO6;mp-2920;['Nb', 'Ba', 'Ba', 'Lu'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-11775;RbUO3;mp-2920;['Rb', 'U'];[1, 5];['12', '6'];[2.0, 2.0, 2.0]
mp-546295;Sr2CuOsO6;mp-2920;['Sr', 'Sr', 'Os', 'Cu'];[2, 2, 6, 2];['12', '12', '6', '6'];[1.9999999999999998, 1.9999999999999998, 1.9999999999999998, 1.9999999999999998, 1.9999999999999998, 1.9999999999999998]
mp-6167;Ba2NdNbO6;mp-2920;['Nb', 'Ba', 'Ba', 'Nd'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-5777;BaTiO3;mp-2920;['Ti', 'Ba'];[4, 2];['6', '12'];[2.0, 2.0, 2.0]
mp-18857;Sr2FeMoO6;mp-2920;['Fe', 'Sr', 'Sr', 'Mo'];[3, 2, 2, 5];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-6687;Ba2HoSbO6;mp-2920;['Sb', 'Ba', 'Ba', 'Ho'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-13000;Ba2HoTaO6;mp-2920;['Ba', 'Ba', 'Ho', 'Ta'];[2, 2, 3, 5];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-25089;Sr2NiWO6;mp-2920;['Ni', 'Sr', 'Sr', 'W'];[2, 2, 2, 6];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-640531;Sr2CoTeO6;mp-2920;['Sr', 'Sr', 'Sr', 'Sr', 'Co', 'Co', 'Te', 'Te'];[2, 2, 2, 2, 2, 2, 6, 6];['12', '12', '12', '12', '6', '6', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
