mp-id;formula;structure_type;cations;valences;CNs;Bond valence sum
mp-572998;Lu(IO3)3;mp-572998;['Lu', 'Lu', 'Lu', 'Lu', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I'];[3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];['9', '9', '9', '9', '5', '3', '5', '5', '5', '3', '5', '5', '5', '3', '5', '3'];[3.0, 1.3333333333333333, 2.0, 1.6666666666666665, 3.0, 3.666666666666667, 1.3333333333333333, 1.6666666666666665, 3.666666666666667, 1.3333333333333333, 3.666666666666667, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 3.0, 2.0, 1.6666666666666665, 1.3333333333333333, 1.6666666666666665, 1.3333333333333333, 1.3333333333333333, 3.0, 1.3333333333333333, 1.6666666666666665, 2.0, 1.6666666666666665, 1.6666666666666665, 2.0, 1.6666666666666665, 1.3333333333333333, 3.666666666666667, 2.0, 2.0, 2.0, 2.0, 1.3333333333333333]
mp-556079;Eu(IO3)3;mp-572998;['Eu', 'Eu', 'Eu', 'Eu', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I'];[3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];['9', '9', '9', '9', '4', '3', '3', '8', '3', '8', '4', '4', '8', '3', '4', '8'];[1.9166666666666665, 1.2916666666666665, 1.5833333333333333, 2.625, 2.0, 1.5833333333333333, 2.291666666666667, 3.125, 2.291666666666667, 1.2916666666666665, 1.5833333333333333, 3.125, 2.625, 1.5833333333333333, 1.5833333333333333, 1.5833333333333333, 2.0, 1.5833333333333333, 1.9166666666666665, 2.0, 2.291666666666667, 1.5833333333333333, 2.625, 1.2916666666666665, 1.5833333333333333, 3.125, 2.291666666666667, 1.5833333333333333, 1.5833333333333333, 2.0, 3.125, 1.9166666666666665, 2.625, 1.2916666666666665, 1.9166666666666665, 1.5833333333333333]
mp-560995;Y(IO3)3;mp-572998;['Y', 'Y', 'Y', 'Y', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I'];[3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];['9', '9', '9', '9', '3', '5', '3', '5', '5', '5', '5', '3', '3', '5', '5', '5'];[1.6666666666666665, 3.666666666666667, 1.3333333333333333, 3.666666666666667, 1.6666666666666665, 1.3333333333333333, 3.0, 2.0, 1.3333333333333333, 1.3333333333333333, 2.0, 1.6666666666666665, 2.0, 1.3333333333333333, 2.0, 3.0, 1.3333333333333333, 3.0, 1.6666666666666665, 2.0, 3.666666666666667, 1.6666666666666665, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 3.666666666666667, 3.0, 1.6666666666666665, 2.0, 1.6666666666666665, 1.3333333333333333, 1.6666666666666665, 2.0, 2.0]
mp-559637;Dy(IO3)3;mp-572998;['Dy', 'Dy', 'Dy', 'Dy', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I'];[3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];['9', '9', '9', '9', '5', '3', '3', '5', '5', '5', '5', '3', '5', '5', '3', '5'];[1.3333333333333333, 1.6666666666666665, 1.3333333333333333, 2.0, 3.0, 2.0, 3.0, 1.3333333333333333, 2.0, 2.0, 3.0, 3.666666666666667, 1.6666666666666665, 2.0, 1.6666666666666665, 1.6666666666666665, 2.0, 1.6666666666666665, 1.3333333333333333, 1.3333333333333333, 1.6666666666666665, 3.666666666666667, 1.6666666666666665, 3.666666666666667, 3.0, 1.3333333333333333, 1.3333333333333333, 3.666666666666667, 1.3333333333333333, 2.0, 1.3333333333333333, 1.3333333333333333, 1.6666666666666665, 1.3333333333333333, 2.0, 1.3333333333333333]
mp-23552;Er(IO3)3;mp-572998;['I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'Er', 'Er', 'Er', 'Er'];[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 3, 3];['5', '5', '5', '5', '8', '8', '8', '8', '5', '5', '5', '5', '9', '9', '9', '9'];[1.9583333333333333, 1.9583333333333333, 1.9583333333333333, 1.9583333333333333, 1.6666666666666665, 1.6666666666666665, 1.6666666666666665, 1.6666666666666665, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.5833333333333333, 1.5833333333333333, 1.5833333333333333, 1.5833333333333333, 2.5833333333333335, 2.5833333333333335, 2.5833333333333335, 2.5833333333333335, 1.6666666666666665, 1.6666666666666665, 1.6666666666666665, 1.6666666666666665, 3.0, 3.0, 3.0, 3.0, 1.5833333333333333, 1.5833333333333333, 1.5833333333333333, 1.5833333333333333, 2.625, 2.625, 2.625, 2.625]
mp-558346;Nd(IO3)3;mp-572998;['Nd', 'Nd', 'Nd', 'Nd', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I'];[3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];['9', '9', '9', '9', '8', '4', '3', '4', '8', '4', '3', '3', '8', '8', '3', '4'];[2.291666666666667, 1.5833333333333333, 2.291666666666667, 1.5833333333333333, 3.125, 2.625, 1.2916666666666665, 1.5833333333333333, 1.5833333333333333, 1.5833333333333333, 1.2916666666666665, 1.5833333333333333, 2.0, 2.0, 3.125, 1.5833333333333333, 3.125, 2.0, 1.9166666666666665, 2.291666666666667, 3.125, 1.9166666666666665, 2.625, 2.625, 1.5833333333333333, 1.5833333333333333, 1.5833333333333333, 1.9166666666666665, 1.9166666666666665, 1.5833333333333333, 2.625, 1.2916666666666665, 2.0, 1.5833333333333333, 2.291666666666667, 1.2916666666666665]
mp-510661;Gd(IO3)3;mp-572998;['Gd', 'Gd', 'Gd', 'Gd', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I'];[3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];['9', '9', '9', '9', '4', '4', '4', '4', '3', '3', '3', '3', '5', '5', '5', '5'];[1.5833333333333333, 1.5833333333333333, 1.5833333333333333, 1.5833333333333333, 1.9166666666666665, 1.9166666666666665, 1.9166666666666665, 1.9166666666666665, 3.5, 3.5, 3.5, 3.5, 2.0, 2.0, 2.0, 2.0, 2.666666666666667, 2.666666666666667, 2.666666666666667, 2.666666666666667, 2.0, 2.0, 2.0, 2.0, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.6666666666666665, 1.6666666666666665, 1.6666666666666665, 1.6666666666666665, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333]
mp-554821;Tb(IO3)3;mp-572998;['Tb', 'Tb', 'Tb', 'Tb', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I'];[3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];['9', '9', '9', '9', '5', '5', '5', '5', '3', '3', '5', '3', '5', '5', '3', '5'];[3.666666666666667, 1.6666666666666665, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 3.666666666666667, 3.666666666666667, 3.0, 1.3333333333333333, 1.6666666666666665, 3.0, 1.6666666666666665, 1.3333333333333333, 1.3333333333333333, 1.3333333333333333, 3.0, 2.0, 1.3333333333333333, 3.0, 2.0, 3.666666666666667, 2.0, 1.6666666666666665, 1.3333333333333333, 1.6666666666666665, 1.6666666666666665, 1.6666666666666665, 2.0, 2.0, 2.0, 1.6666666666666665, 2.0, 2.0]
mp-556346;Pr(IO3)3;mp-572998;['Pr', 'Pr', 'Pr', 'Pr', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I'];[3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];['9', '9', '9', '9', '4', '8', '3', '3', '4', '8', '3', '4', '4', '3', '8', '8'];[2.291666666666667, 1.5833333333333333, 1.2916666666666665, 2.625, 2.625, 2.625, 3.125, 1.2916666666666665, 1.2916666666666665, 1.2916666666666665, 1.5833333333333333, 1.5833333333333333, 1.5833333333333333, 3.125, 1.5833333333333333, 3.125, 1.5833333333333333, 1.9166666666666665, 1.5833333333333333, 1.5833333333333333, 1.5833333333333333, 1.5833333333333333, 1.9166666666666665, 2.0, 1.5833333333333333, 2.291666666666667, 3.125, 2.0, 1.5833333333333333, 2.0, 1.9166666666666665, 2.625, 2.291666666666667, 2.0, 1.9166666666666665, 2.291666666666667]
mp-558464;Yb(IO3)3;mp-572998;['Yb', 'Yb', 'Yb', 'Yb', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I'];[3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];['9', '9', '9', '9', '5', '5', '8', '8', '3', '5', '3', '5', '8', '8', '3', '3'];[3.291666666666667, 2.0, 1.5833333333333333, 2.625, 2.625, 1.5833333333333333, 1.3333333333333333, 1.3333333333333333, 1.6666666666666665, 2.625, 2.625, 2.625, 1.5833333333333333, 1.3333333333333333, 1.2916666666666665, 3.291666666666667, 3.291666666666667, 1.5833333333333333, 2.0, 1.2916666666666665, 2.625, 1.6666666666666665, 2.625, 3.291666666666667, 2.0, 1.5833333333333333, 1.5833333333333333, 2.0, 1.5833333333333333, 1.3333333333333333, 1.5833333333333333, 1.2916666666666665, 1.2916666666666665, 1.6666666666666665, 1.6666666666666665, 2.625]
