mp-id;formula;structure_type;cations;valences;CNs;Bond valence sum
mp-11734;Sr2MgReO6;mp-11734;['Mg', 'Sr', 'Sr', 'Re'];[2, 2, 2, 6];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-12644;Ba2LuNbO6;mp-11734;['Nb', 'Ba', 'Ba', 'Lu'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-21879;Ba2CePtO6;mp-11734;['Ba', 'Ba', 'Ce', 'Pt'];[2, 2, 4, 4];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-7006;SrNbO3;mp-11734;['Sr', 'Nb'];[2, 4];['12', '6'];[2.0, 2.0, 2.0]
mp-21309;MgTe(PbO3)2;mp-11734;['Mg', 'Te', 'Pb', 'Pb'];[2, 6, 2, 2];['6', '6', '12', '12'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-8558;BaNpO3;mp-11734;['Ba', 'Np'];[2, 4];['12', '6'];[2.0, 2.0, 2.0]
mp-3163;BaSnO3;mp-11734;['Sn', 'Ba'];[4, 2];['6', '12'];[2.0, 2.0, 2.0]
mp-4170;NaTaO3;mp-11734;['Na', 'Ta'];[1, 5];['12', '6'];[2.0, 2.0, 2.0]
mp-7143;BaPuO3;mp-11734;['Ba', 'Pu'];[2, 4];['12', '6'];[2.0, 2.0, 2.0]
mp-20620;Ba2NbInO6;mp-11734;['Nb', 'In', 'Ba', 'Ba'];[5, 3, 2, 2];['6', '6', '12', '12'];[2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004]
mp-8557;BaPaO3;mp-11734;['Ba', 'Pa'];[2, 4];['12', '6'];[2.0, 2.0, 2.0]
mp-3614;KTaO3;mp-11734;['K', 'Ta'];[1, 5];['12', '6'];[2.0, 2.0, 2.0]
mp-5323;CeAlO3;mp-11734;['Al', 'Ce'];[3, 3];['6', '12'];[2.0, 2.0, 2.0]
mp-31756;Ba2FeReO6;mp-11734;['Fe', 'Ba', 'Ba', 'Re'];[3, 2, 2, 5];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-23137;Ba2YBiO6;mp-11734;['Y', 'Ba', 'Ba', 'Bi'];[3, 2, 2, 5];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-12631;SrTcO3;mp-11734;['Sr', 'Tc'];[2, 4];['12', '6'];[2.0, 2.0, 2.0]
mp-16307;Sr2MgIrO6;mp-11734;['Mg', 'Sr', 'Sr', 'Ir'];[2, 2, 2, 6];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-3834;BaZrO3;mp-11734;['Zr', 'Ba'];[4, 2];['6', '12'];[2.0, 2.0, 2.0]
mp-11775;RbUO3;mp-11734;['Rb', 'U'];[1, 5];['12', '6'];[2.0, 2.0, 2.0]
mp-22246;EuTiO3;mp-11734;['Ti', 'Eu'];[4, 2];['6', '12'];[2.0, 2.0, 2.0]
mp-2998;BaTiO3;mp-11734;['Ti', 'Ba'];[4, 2];['6', '12'];[2.0, 2.0, 2.0]
mp-561559;Sr2CoWO6;mp-11734;['Sr', 'Sr', 'Co', 'W'];[2, 2, 2, 6];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-4126;KUO3;mp-11734;['K', 'U'];[1, 5];['12', '6'];[2.0, 2.0, 2.0]
mp-25003;Ba2UMnO6;mp-11734;['Mn', 'Ba', 'Ba', 'U'];[2, 2, 2, 6];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-19322;BaMoO3;mp-11734;['Mo', 'Ba'];[4, 2];['6', '12'];[2.0, 2.0, 2.0]
mp-3020;BaNbO3;mp-11734;['Nb', 'Ba'];[4, 2];['6', '12'];[2.0, 2.0, 2.0]
mp-13811;Ba2MgUO6;mp-11734;['Mg', 'Ba', 'Ba', 'U'];[2, 2, 2, 6];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-19282;Sr2ZnWO6;mp-11734;['Zn', 'Sr', 'Sr', 'W'];[2, 2, 2, 6];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-5229;SrTiO3;mp-11734;['Ti', 'Sr'];[4, 2];['6', '12'];[2.0, 2.0, 2.0]
mp-5304;LaAlO3;mp-11734;['Al', 'La'];[3, 3];['6', '12'];[2.0, 2.0, 2.0]
mp-18995;Ba2FeMoO6;mp-11734;['Fe', 'Mo', 'Ba', 'Ba'];[3, 5, 2, 2];['6', '6', '12', '12'];[2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004]
mp-540827;Ba2UFeO6;mp-11734;['Fe', 'U', 'Ba', 'Ba'];[3, 5, 2, 2];['6', '6', '12', '12'];[2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004]
mp-3953;CaCO3;mp-3953;['C', 'C', 'Ca', 'Ca'];[4, 4, 2, 2];['3', '3', '6', '6'];[1.9999999999999998, 1.9999999999999998, 1.9999999999999998, 1.9999999999999998, 1.9999999999999998, 1.9999999999999998]
mp-4385;CdCO3;mp-3953;['C', 'C', 'Cd', 'Cd'];[4, 4, 2, 2];['3', '3', '6', '6'];[1.9999999999999998, 1.9999999999999998, 1.9999999999999998, 1.9999999999999998, 1.9999999999999998, 1.9999999999999998]
mp-5348;MgCO3;mp-3953;['C', 'C', 'Mg', 'Mg'];[4, 4, 2, 2];['3', '3', '6', '6'];[1.9999999999999998, 1.9999999999999998, 1.9999999999999998, 1.9999999999999998, 1.9999999999999998, 1.9999999999999998]
mp-19299;CrBO3;mp-3953;['B', 'B', 'Cr', 'Cr'];[3, 3, 3, 3];['3', '3', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-8697;ScBO3;mp-3953;['B', 'B', 'Sc', 'Sc'];[3, 3, 3, 3];['3', '3', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
