mp-id;formula;structure_type;cations;valences;CNs
mp-3771;MgTiO3;mp-3771;['Mg', 'Mg', 'Ti', 'Ti'];[2, 2, 4, 4];['6', '6', '6', '6']
mp-4190;CaSnO3;mp-3771;['Ca', 'Ca', 'Sn', 'Sn'];[2, 2, 4, 4];['6', '6', '6', '6']
mp-4482;NaSbO3;mp-3771;['Na', 'Na', 'Sb', 'Sb'];[1, 1, 5, 5];['6', '6', '6', '6']
mp-458;Ti2O3;mp-3771;['Ti', 'Ti', 'Ti', 'Ti'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-17841;Mg4Nb2O9;mp-3771;['Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Nb', 'Nb', 'Nb', 'Nb'];[2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
mp-9657;LiAsO3;mp-3771;['Li', 'Li', 'As', 'As'];[1, 1, 5, 5];['6', '6', '6', '6']
mp-19399;Cr2O3;mp-3771;['Cr', 'Cr', 'Cr', 'Cr'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-18937;V2O3;mp-3771;['V', 'V', 'V', 'V'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-640040;Mn4Nb2O9;mp-3771;['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Nb', 'Nb', 'Nb', 'Nb'];[2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
mp-24972;Fe2O3;mp-3771;['Fe', 'Fe', 'Fe', 'Fe'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-3666;LiTaO3;mp-3771;['Li', 'Li', 'Ta', 'Ta'];[1, 1, 5, 5];['6', '6', '6', '6']
mp-19417;TiFeO3;mp-3771;['Ti', 'Ti', 'Fe', 'Fe'];[4, 4, 2, 2];['6', '6', '6', '6']
mp-18732;TiNiO3;mp-3771;['Ti', 'Ti', 'Ni', 'Ni'];[4, 4, 2, 2];['6', '6', '6', '6']
mp-8275;CdGeO3;mp-3771;['Ge', 'Ge', 'Cd', 'Cd'];[4, 4, 2, 2];['6', '6', '6', '6']
mp-19424;TiCoO3;mp-3771;['Ti', 'Ti', 'Co', 'Co'];[4, 4, 2, 2];['6', '6', '6', '6']
mp-19082;TiMnO3;mp-3771;['Ti', 'Ti', 'Mn', 'Mn'];[4, 4, 2, 2];['6', '6', '6', '6']
mp-1143;Al2O3;mp-3771;['Al', 'Al', 'Al', 'Al'];[3, 3, 3, 3];['6', '6', '6', '6']
