mp-id;formula;structure_type;cations;valences;CNs
mp-5548;Ta2Cd2O7;mp-5548;['Cd', 'Cd', 'Cd', 'Cd', 'Ta', 'Ta', 'Ta', 'Ta'];[2, 2, 2, 2, 5, 5, 5, 5];['8', '8', '8', '8', '6', '6', '6', '6']
mp-566468;Er2V2O7;mp-5548;['Er', 'Er', 'Er', 'Er', 'V', 'V', 'V', 'V'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6']
mp-3200;Lu2Ti2O7;mp-5548;['Ti', 'Ti', 'Ti', 'Ti', 'Lu', 'Lu', 'Lu', 'Lu'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8']
mp-19930;Nd2Ru2O7;mp-5548;['Ru', 'Ru', 'Ru', 'Ru', 'Nd', 'Nd', 'Nd', 'Nd'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8']
mp-14026;Ca2Ta2O7;mp-5548;['Ca', 'Ca', 'Ca', 'Ca', 'Ta', 'Ta', 'Ta', 'Ta'];[2, 2, 2, 2, 5, 5, 5, 5];['8', '8', '8', '8', '6', '6', '6', '6']
mp-642823;Dy2V2O7;mp-5548;['Dy', 'Dy', 'Dy', 'Dy', 'V', 'V', 'V', 'V'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6']
mp-558448;Pr2Ir2O7;mp-5548;['Pr', 'Pr', 'Pr', 'Pr', 'Ir', 'Ir', 'Ir', 'Ir'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6']
mp-20845;Dy2Sn2O7;mp-5548;['Sn', 'Sn', 'Sn', 'Sn', 'Dy', 'Dy', 'Dy', 'Dy'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8']
mp-5950;Cd2Os2O7;mp-5548;['Cd', 'Cd', 'Cd', 'Cd', 'Os', 'Os', 'Os', 'Os'];[2, 2, 2, 2, 5, 5, 5, 5];['8', '8', '8', '8', '6', '6', '6', '6']
mp-22259;Yb2Ru2O7;mp-5548;['Ru', 'Ru', 'Ru', 'Ru', 'Yb', 'Yb', 'Yb', 'Yb'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8']
mp-566186;Sm2Mo2O7;mp-5548;['Sm', 'Sm', 'Sm', 'Sm', 'Mo', 'Mo', 'Mo', 'Mo'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6']
mp-4991;Tb2Sn2O7;mp-5548;['Sn', 'Sn', 'Sn', 'Sn', 'Tb', 'Tb', 'Tb', 'Tb'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8']
mp-15170;Lu2Sn2O7;mp-5548;['Sn', 'Sn', 'Sn', 'Sn', 'Lu', 'Lu', 'Lu', 'Lu'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8']
mp-505306;Eu2Sn2O7;mp-5548;['Eu', 'Eu', 'Eu', 'Eu', 'Sn', 'Sn', 'Sn', 'Sn'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6']
mp-22094;Tl2Ru2O7;mp-5548;['Ru', 'Ru', 'Ru', 'Ru', 'Tl', 'Tl', 'Tl', 'Tl'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8']
mp-5472;Nb2Cd2O7;mp-5548;['Nb', 'Nb', 'Nb', 'Nb', 'Cd', 'Cd', 'Cd', 'Cd'];[5, 5, 5, 5, 2, 2, 2, 2];['6', '6', '6', '6', '8', '8', '8', '8']
mp-13801;Tl2Pt2O7;mp-5548;['Pt', 'Pt', 'Pt', 'Pt', 'Tl', 'Tl', 'Tl', 'Tl'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8']
mp-558131;Sm2Tc2O7;mp-5548;['Sm', 'Sm', 'Sm', 'Sm', 'Tc', 'Tc', 'Tc', 'Tc'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6']
mp-641683;Eu2Ir2O7;mp-5548;['Eu', 'Eu', 'Eu', 'Eu', 'Ir', 'Ir', 'Ir', 'Ir'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6']
mp-20643;Y2Ru2O7;mp-5548;['Y', 'Y', 'Y', 'Y', 'Ru', 'Ru', 'Ru', 'Ru'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6']
mp-3611;Dy2Hf2O7;mp-5548;['Dy', 'Dy', 'Dy', 'Dy', 'Hf', 'Hf', 'Hf', 'Hf'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6']
mp-3334;Tm2Sn2O7;mp-5548;['Sn', 'Sn', 'Sn', 'Sn', 'Tm', 'Tm', 'Tm', 'Tm'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8']
mp-3370;Y2Sn2O7;mp-5548;['Y', 'Y', 'Y', 'Y', 'Sn', 'Sn', 'Sn', 'Sn'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6']
mp-642754;Gd2Mo2O7;mp-5548;['Gd', 'Gd', 'Gd', 'Gd', 'Mo', 'Mo', 'Mo', 'Mo'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6']
mp-4974;La2Zr2O7;mp-5548;['Zr', 'Zr', 'Zr', 'Zr', 'La', 'La', 'La', 'La'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8']
