mp-id;formula;structure_type;cations;valences;CNs;Connections of Cations with Valences
mp-555078;Ba3SrSb2O9;mp-555078;['Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Sr', 'Sr', 'Sb', 'Sb', 'Sb', 'Sb'];[2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 5];['12', '12', '12', '10', '10', '12', '6', '6', '6', '6', '6', '6'];{'Sr': {2: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Sb': {5: {'no': 84, 'corner': 12, 'edge': 0, 'face': 4}}}
mp-554266;Ba3SrIr2O9;mp-555078;['Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Sr', 'Sr', 'Ir', 'Ir', 'Ir', 'Ir'];[2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 5];['12', '12', '12', '12', '12', '12', '6', '6', '6', '6', '6', '6'];{'Sr': {2: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Ir': {5: {'no': 84, 'corner': 12, 'edge': 0, 'face': 4}}}
mp-17137;Ba3ZnRu2O9;mp-555078;['Zn', 'Zn', 'Ru', 'Ru', 'Ru', 'Ru', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba'];[2, 2, 5, 5, 5, 5, 2, 2, 2, 2, 2, 2];['6', '6', '6', '6', '6', '6', '12', '12', '12', '12', '12', '12'];{'Zn': {2: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Ru': {5: {'no': 108, 'corner': 12, 'edge': 0, 'face': 4}}}
mp-16978;Ba3MgSb2O9;mp-555078;['Mg', 'Mg', 'Sb', 'Sb', 'Sb', 'Sb', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba'];[2, 2, 5, 5, 5, 5, 2, 2, 2, 2, 2, 2];['6', '6', '6', '6', '6', '6', '12', '12', '12', '12', '12', '12'];{'Mg': {2: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Sb': {5: {'no': 84, 'corner': 12, 'edge': 0, 'face': 4}}}
mp-3598;BaRuO3;mp-555078;['Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba'];[4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2];['6', '6', '6', '6', '6', '6', '12', '12', '12', '12', '12', '12'];{'Ru': {4: {'no': 148, 'corner': 24, 'edge': 0, 'face': 4}}}
mp-19697;Ba3NiSb2O9;mp-555078;['Ni', 'Ni', 'Sb', 'Sb', 'Sb', 'Sb', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba'];[2, 2, 5, 5, 5, 5, 2, 2, 2, 2, 2, 2];['6', '6', '6', '6', '6', '6', '12', '12', '12', '12', '12', '12'];{'Ni': {2: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Sb': {5: {'no': 84, 'corner': 12, 'edge': 0, 'face': 4}}}
mp-27764;K4I2O9;mp-555078;['K', 'K', 'K', 'K', 'K', 'K', 'K', 'K', 'I', 'I', 'I', 'I'];[1, 1, 1, 1, 1, 1, 1, 1, 7, 7, 7, 7];['6', '6', '12', '12', '12', '12', '12', '12', '6', '6', '6', '6'];{'K': {1: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'I': {7: {'no': 84, 'corner': 12, 'edge': 0, 'face': 4}}}
mp-561170;Ba3ZrRu2O9;mp-555078;['Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Zr', 'Zr', 'Ru', 'Ru', 'Ru', 'Ru'];[2, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4];['12', '12', '12', '12', '12', '12', '6', '6', '6', '6', '6', '6'];{'Zr': {4: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Ru': {4: {'no': 108, 'corner': 12, 'edge': 0, 'face': 4}}}
mp-558125;BaTiO3;mp-555078;['Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti'];[2, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4];['12', '12', '12', '12', '12', '12', '6', '6', '6', '6', '6', '6'];{'Ti': {4: {'no': 152, 'corner': 24, 'edge': 0, 'face': 4}}}
mp-540949;Ba3SrNb2O9;mp-555078;['Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Sr', 'Sr', 'Nb', 'Nb', 'Nb', 'Nb'];[2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 5];['12', '12', '12', '12', '12', '12', '6', '6', '6', '6', '6', '6'];{'Sr': {2: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Nb': {5: {'no': 84, 'corner': 12, 'edge': 0, 'face': 4}}}
mp-5933;BaTiO3;mp-555078;['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba'];[4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2];['6', '6', '6', '6', '6', '6', '12', '12', '12', '12', '12', '12'];{'Ti': {4: {'no': 160, 'corner': 24, 'edge': 0, 'face': 4}}}
mp-19058;Ba3CoRu2O9;mp-555078;['Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Co', 'Co', 'Ru', 'Ru', 'Ru', 'Ru'];[2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 5];['12', '12', '12', '12', '12', '12', '6', '6', '6', '6', '6', '6'];{'Co': {2: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Ru': {5: {'no': 112, 'corner': 12, 'edge': 0, 'face': 4}}}
mp-554817;Ba3CaSb2O9;mp-555078;['Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ca', 'Ca', 'Sb', 'Sb', 'Sb', 'Sb'];[2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 5];['12', '12', '12', '12', '12', '12', '6', '6', '6', '6', '6', '6'];{'Ca': {2: {'no': 40, 'corner': 12, 'edge': 0, 'face': 0}}, 'Sb': {5: {'no': 84, 'corner': 12, 'edge': 0, 'face': 4}}}
