mp-id;formula;structure_type;cations;valences;CNs;Connections of Cations with Valences
mp-2920;LaAlO3;mp-2920;['Al', 'Al', 'La', 'La'];[3, 3, 3, 3];['6', '6', '12', '12'];{'Al': {3: {'no': 52, 'corner': 12, 'edge': 0, 'face': 0}}}
mp-9239;NaLaMgTeO6;mp-2920;['Na', 'Na', 'Mg', 'Mg', 'Te', 'Te', 'La', 'La'];[1, 1, 2, 2, 6, 6, 3, 3];['12', '12', '6', '6', '6', '6', '12', '12'];{'Mg': {2: {'no': 52, 'corner': 12, 'edge': 0, 'face': 0}}, 'Te': {6: {'no': 52, 'corner': 12, 'edge': 0, 'face': 0}}}
mp-19207;Sr2CoWO6;mp-2920;['Co', 'Co', 'Sr', 'Sr', 'Sr', 'Sr', 'W', 'W'];[2, 2, 2, 2, 2, 2, 6, 6];['6', '6', '12', '12', '12', '12', '6', '6'];{'Co': {2: {'no': 44, 'corner': 12, 'edge': 0, 'face': 0}}, 'W': {6: {'no': 44, 'corner': 12, 'edge': 0, 'face': 0}}}
mp-7127;Ba2YbTaO6;mp-2920;['Ba', 'Ba', 'Yb', 'Ta'];[2, 2, 3, 5];['12', '12', '6', '6'];{'Yb': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Ta': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-6739;Ba2CaOsO6;mp-2920;['Ca', 'Ba', 'Ba', 'Os'];[2, 2, 2, 6];['6', '12', '12', '6'];{'Ca': {2: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Os': {6: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-13932;Ba2DyReO6;mp-2920;['Ba', 'Ba', 'Dy', 'Re'];[2, 2, 3, 5];['12', '12', '6', '6'];{'Dy': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Re': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-12644;Ba2LuNbO6;mp-2920;['Nb', 'Ba', 'Ba', 'Lu'];[5, 2, 2, 3];['6', '12', '12', '6'];{'Nb': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Lu': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-11775;RbUO3;mp-2920;['Rb', 'U'];[1, 5];['12', '6'];{'U': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-546295;Sr2CuOsO6;mp-2920;['Sr', 'Sr', 'Os', 'Cu'];[2, 2, 6, 2];['12', '12', '6', '6'];{'Os': {6: {'no': 24, 'corner': 6, 'edge': 0, 'face': 0}}, 'Cu': {2: {'no': 24, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-6167;Ba2NdNbO6;mp-2920;['Nb', 'Ba', 'Ba', 'Nd'];[5, 2, 2, 3];['6', '12', '12', '6'];{'Nb': {5: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}, 'Nd': {3: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
