mp-id;formula;structure_type;cations;valences;CNs;Connections of Cations with Valences
mp-19399;Cr2O3;mp-19399;['Cr', 'Cr', 'Cr', 'Cr'];[3, 3, 3, 3];['6', '6', '6', '6'];{'Cr': {3: {'no': 276, 'corner': 36, 'edge': 12, 'face': 4}}}
mp-24972;Fe2O3;mp-19399;['Fe', 'Fe', 'Fe', 'Fe'];[3, 3, 3, 3];['6', '6', '6', '6'];{'Fe': {3: {'no': 240, 'corner': 36, 'edge': 12, 'face': 4}}}
mp-18937;V2O3;mp-19399;['V', 'V', 'V', 'V'];[3, 3, 3, 3];['6', '6', '6', '6'];{'V': {3: {'no': 240, 'corner': 36, 'edge': 12, 'face': 4}}}
mp-1143;Al2O3;mp-19399;['Al', 'Al', 'Al', 'Al'];[3, 3, 3, 3];['6', '6', '6', '6'];{'Al': {3: {'no': 324, 'corner': 36, 'edge': 12, 'face': 4}}}
mp-715514;V2O3;mp-19399;['V', 'V', 'V', 'V'];[3, 3, 3, 3];['6', '6', '6', '6'];{'V': {3: {'no': 244, 'corner': 36, 'edge': 12, 'face': 4}}}
mp-458;Ti2O3;mp-19399;['Ti', 'Ti', 'Ti', 'Ti'];[3, 3, 3, 3];['6', '6', '6', '6'];{'Ti': {3: {'no': 252, 'corner': 36, 'edge': 12, 'face': 4}}}
mp-556754;Ti3O5;mp-556754;['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti'];[3, 3, 3, 3, 4, 4];['6', '6', '6', '6', '6', '6'];{'Ti': {3: {'no': 256, 'corner': 28, 'edge': 12, 'face': 4}, 4: {'no': 128, 'corner': 16, 'edge': 8, 'face': 0}}}
mp-622497;V3O5;mp-556754;['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'];[4, 4, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];{'V': {4: {'no': 248, 'corner': 28, 'edge': 12, 'face': 4}, 3: {'no': 504, 'corner': 60, 'edge': 28, 'face': 4}}}
mp-11107;Ac2O3;mp-11107;['Ac', 'Ac'];[3, 3];['8', '8'];{'Ac': {3: {'no': 66, 'corner': 10, 'edge': 18, 'face': 6}}}
mp-1968;La2O3;mp-11107;['La', 'La'];[3, 3];['8', '8'];{'La': {3: {'no': 78, 'corner': 10, 'edge': 18, 'face': 6}}}
mp-27273;Ti9O17;mp-27273;['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti'];[4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];{'Ti': {4: {'no': 832, 'corner': 110, 'edge': 34, 'face': 2}, 3: {'no': 240, 'corner': 30, 'edge': 10, 'face': 2}}}
mp-565758;V9O17;mp-27273;['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'];[4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4, 3];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];{'V': {4: {'no': 826, 'corner': 108, 'edge': 34, 'face': 4}, 3: {'no': 234, 'corner': 32, 'edge': 10, 'face': 0}}}
