mp-id;formula;structure_type;cations;valences;CNs;Connections of Cations with Valences
mp-547271;ReO3;mp-547271;['Re', 'Re'];[6, 6];['6', '6'];{'Re': {6: {'no': 52, 'corner': 12, 'edge': 0, 'face': 0}}}
mp-18773;WO3;mp-547271;['W', 'W', 'W', 'W'];[6, 6, 6, 6];['6', '6', '6', '6'];{'W': {6: {'no': 104, 'corner': 24, 'edge': 0, 'face': 0}}}
mp-19033;WO3;mp-547271;['W', 'W', 'W', 'W'];[6, 6, 6, 6];['6', '6', '6', '6'];{'W': {6: {'no': 104, 'corner': 24, 'edge': 0, 'face': 0}}}
mp-375;UO3;mp-547271;['U'];[6];['6'];{'U': {6: {'no': 20, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-19390;WO3;mp-547271;['W'];[6];['6'];{'W': {6: {'no': 26, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-190;ReO3;mp-547271;['Re'];[6];['6'];{'Re': {6: {'no': 26, 'corner': 6, 'edge': 0, 'face': 0}}}
mp-18856;MoO3;mp-547271;['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6'];{'Mo': {6: {'no': 192, 'corner': 48, 'edge': 0, 'face': 0}}}
mp-19443;WO3;mp-547271;['W', 'W'];[6, 6];['6', '6'];{'W': {6: {'no': 52, 'corner': 12, 'edge': 0, 'face': 0}}}
mp-565994;WO3;mp-547271;['W', 'W', 'W', 'W'];[6, 6, 6, 6];['6', '6', '6', '6'];{'W': {6: {'no': 104, 'corner': 24, 'edge': 0, 'face': 0}}}
mp-725;RhO2;mp-725;['Rh', 'Rh'];[4, 4];['6', '6'];{'Rh': {4: {'no': 116, 'corner': 16, 'edge': 4, 'face': 0}}}
mp-19177;CrO2;mp-725;['Cr', 'Cr'];[4, 4];['6', '6'];{'Cr': {4: {'no': 116, 'corner': 16, 'edge': 4, 'face': 0}}}
mp-2723;IrO2;mp-725;['Ir', 'Ir'];[4, 4];['6', '6'];{'Ir': {4: {'no': 116, 'corner': 16, 'edge': 4, 'face': 0}}}
mp-996;OsO2;mp-725;['Os', 'Os'];[4, 4];['6', '6'];{'Os': {4: {'no': 116, 'corner': 16, 'edge': 4, 'face': 0}}}
mp-825;RuO2;mp-725;['Ru', 'Ru'];[4, 4];['6', '6'];{'Ru': {4: {'no': 116, 'corner': 16, 'edge': 4, 'face': 0}}}
mp-856;SnO2;mp-725;['Sn', 'Sn'];[4, 4];['6', '6'];{'Sn': {4: {'no': 100, 'corner': 16, 'edge': 4, 'face': 0}}}
mp-470;GeO2;mp-725;['Ge', 'Ge'];[4, 4];['6', '6'];{'Ge': {4: {'no': 132, 'corner': 16, 'edge': 4, 'face': 0}}}
mp-20725;PbO2;mp-725;['Pb', 'Pb'];[4, 4];['6', '6'];{'Pb': {4: {'no': 68, 'corner': 16, 'edge': 4, 'face': 0}}}
mp-550172;SnO2;mp-725;['Sn', 'Sn'];[4, 4];['6', '6'];{'Sn': {4: {'no': 100, 'corner': 16, 'edge': 4, 'face': 0}}}
mp-2472;SrO;mp-2472;['Sr'];[2];['6'];{'Sr': {2: {'no': 36, 'corner': 6, 'edge': 12, 'face': 0}}}
mp-2605;CaO;mp-2472;['Ca'];[2];['6'];{'Ca': {2: {'no': 60, 'corner': 6, 'edge': 12, 'face': 0}}}
mp-1132;CdO;mp-2472;['Cd'];[2];['6'];{'Cd': {2: {'no': 60, 'corner': 6, 'edge': 12, 'face': 0}}}
mp-1216;YbO;mp-2472;['Yb'];[2];['6'];{'Yb': {2: {'no': 60, 'corner': 6, 'edge': 12, 'face': 0}}}
mp-10688;CeO;mp-2472;['Ce'];[2];['6'];{'Ce': {2: {'no': 60, 'corner': 6, 'edge': 12, 'face': 0}}}
mp-1265;MgO;mp-2472;['Mg'];[2];['6'];{'Mg': {2: {'no': 116, 'corner': 6, 'edge': 12, 'face': 0}}}
mp-1342;BaO;mp-2472;['Ba'];[2];['6'];{'Ba': {2: {'no': 36, 'corner': 6, 'edge': 12, 'face': 0}}}
mp-21394;EuO;mp-2472;['Eu'];[2];['6'];{'Eu': {2: {'no': 36, 'corner': 6, 'edge': 12, 'face': 0}}}
mp-2352;Na2O;mp-2352;['Na', 'Na'];[1, 1];['4', '4'];{'Na': {1: {'no': 140, 'corner': 32, 'edge': 12, 'face': 0}}}
mp-20194;CeO2;mp-2352;['Ce'];[4];['8'];{'Ce': {4: {'no': 42, 'corner': 0, 'edge': 12, 'face': 0}}}
mp-1959;PuO2;mp-2352;['Pu'];[4];['8'];{'Pu': {4: {'no': 42, 'corner': 0, 'edge': 12, 'face': 0}}}
mp-2364;PaO2;mp-2352;['Pa'];[4];['8'];{'Pa': {4: {'no': 42, 'corner': 0, 'edge': 12, 'face': 0}}}
mp-971;K2O;mp-2352;['K', 'K'];[1, 1];['4', '4'];{'K': {1: {'no': 116, 'corner': 32, 'edge': 12, 'face': 0}}}
mp-1394;Rb2O;mp-2352;['Rb', 'Rb'];[1, 1];['4', '4'];{'Rb': {1: {'no': 68, 'corner': 32, 'edge': 12, 'face': 0}}}
mp-643;ThO2;mp-2352;['Th'];[4];['8'];{'Th': {4: {'no': 42, 'corner': 0, 'edge': 12, 'face': 0}}}
mp-18759;Mn3O4;mp-18759;['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn'];[2, 2, 3, 3, 3, 3];['4', '4', '6', '6', '6', '6'];{'Mn': {2: {'no': 124, 'corner': 24, 'edge': 0, 'face': 0}, 3: {'no': 244, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-18748;Co3O4;mp-18759;['Co', 'Co', 'Co', 'Co', 'Co', 'Co'];[3, 3, 3, 3, 2, 2];['6', '6', '6', '6', '4', '4'];{'Co': {3: {'no': 368, 'corner': 24, 'edge': 24, 'face': 0}, 2: {'no': 184, 'corner': 24, 'edge': 0, 'face': 0}}}
mp-19306;Fe3O4;mp-18759;['Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe'];[3, 3, 3, 3, 2, 2];['6', '6', '6', '6', '4', '4'];{'Fe': {3: {'no': 296, 'corner': 24, 'edge': 24, 'face': 0}, 2: {'no': 112, 'corner': 24, 'edge': 0, 'face': 0}}}
mp-31770;Fe3O4;mp-18759;['Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe'];[2, 2, 3, 3, 3, 3];['6', '6', '4', '6', '6', '4'];{'Fe': {2: {'no': 124, 'corner': 12, 'edge': 12, 'face': 0}, 3: {'no': 228, 'corner': 36, 'edge': 12, 'face': 0}}}
mp-19128;CoO;mp-19128;['Co', 'Co'];[2, 2];['4', '4'];{'Co': {2: {'no': 148, 'corner': 24, 'edge': 0, 'face': 0}}}
mp-2133;ZnO;mp-19128;['Zn', 'Zn'];[2, 2];['4', '4'];{'Zn': {2: {'no': 136, 'corner': 24, 'edge': 0, 'face': 0}}}
mp-2542;BeO;mp-19128;['Be', 'Be'];[2, 2];['4', '4'];{'Be': {2: {'no': 268, 'corner': 24, 'edge': 0, 'face': 0}}}
mp-1336;PdO;mp-1336;['Pd', 'Pd'];[2, 2];['4', '4'];{'Pd': {2: {'no': 120, 'corner': 16, 'edge': 4, 'face': 0}}}
mp-1692;CuO;mp-1336;['Cu', 'Cu'];[2, 2];['4', '4'];{'Cu': {2: {'no': 172, 'corner': 16, 'edge': 4, 'face': 0}}}
mp-704645;CuO;mp-1336;['Cu', 'Cu'];[2, 2];['4', '4'];{'Cu': {2: {'no': 172, 'corner': 16, 'edge': 4, 'face': 0}}}
mp-561224;TeO2;mp-561224;['Te', 'Te', 'Te', 'Te'];[4, 4, 4, 4];['4', '4', '4', '4'];{'Te': {4: {'no': 168, 'corner': 16, 'edge': 0, 'face': 0}}}
mp-557;TeO2;mp-561224;['Te', 'Te', 'Te', 'Te'];[4, 4, 4, 4];['4', '4', '4', '4'];{'Te': {4: {'no': 168, 'corner': 16, 'edge': 0, 'face': 0}}}
mp-2739;TeO2;mp-561224;['Te', 'Te', 'Te', 'Te'];[4, 4, 4, 4];['4', '4', '4', '4'];{'Te': {4: {'no': 168, 'corner': 16, 'edge': 0, 'face': 0}}}
mp-12978;SnO2;mp-12978;['Sn', 'Sn', 'Sn', 'Sn'];[4, 4, 4, 4];['6', '6', '6', '6'];{'Sn': {4: {'no': 208, 'corner': 32, 'edge': 8, 'face': 0}}}
mp-7228;ReO2;mp-12978;['Re', 'Re', 'Re', 'Re'];[4, 4, 4, 4];['6', '6', '6', '6'];{'Re': {4: {'no': 224, 'corner': 32, 'edge': 8, 'face': 0}}}
mp-20633;PbO2;mp-12978;['Pb', 'Pb', 'Pb', 'Pb'];[4, 4, 4, 4];['6', '6', '6', '6'];{'Pb': {4: {'no': 160, 'corner': 32, 'edge': 8, 'face': 0}}}
