mp-id;formula;structure_type;cations;valences;CNs;Connections of Cations with Valences
mp-6457;La2MgTiO6;mp-6457;['Mg', 'Mg', 'Ti', 'Ti', 'La', 'La', 'La', 'La'];[2, 2, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12'];{'Mg': {2: {'no': 100, 'corner': 12, 'edge': 0, 'face': 16}}, 'Ti': {4: {'no': 100, 'corner': 12, 'edge': 0, 'face': 16}}, 'La': {3: {'no': 152, 'corner': 48, 'edge': 0, 'face': 56}}}
mp-558451;Ca2CoTeO6;mp-6457;['Ca', 'Te', 'Ca', 'Ca', 'Co', 'Ca', 'Co', 'Te'];[2, 6, 2, 2, 2, 2, 2, 6];['12', '6', '12', '12', '6', '12', '6', '6'];{'Ca': {2: {'no': 152, 'corner': 48, 'edge': 0, 'face': 56}}, 'Te': {6: {'no': 100, 'corner': 12, 'edge': 0, 'face': 16}}, 'Co': {2: {'no': 100, 'corner': 12, 'edge': 0, 'face': 16}}}
mp-12337;NaLa2OsO6;mp-6457;['Na', 'Na', 'La', 'La', 'La', 'La', 'Os', 'Os'];[1, 1, 3, 3, 3, 3, 5, 5];['6', '6', '9', '9', '9', '9', '6', '6'];{'Na': {1: {'no': 88, 'corner': 16, 'edge': 4, 'face': 8}}, 'La': {3: {'no': 152, 'corner': 40, 'edge': 16, 'face': 24}}, 'Os': {5: {'no': 88, 'corner': 16, 'edge': 4, 'face': 8}}}
mp-24960;HoFeO3;mp-6457;['Fe', 'Fe', 'Fe', 'Fe', 'Ho', 'Ho', 'Ho', 'Ho'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9'];{'Fe': {3: {'no': 200, 'corner': 32, 'edge': 8, 'face': 16}}, 'Ho': {3: {'no': 176, 'corner': 40, 'edge': 16, 'face': 24}}}
mp-22220;LaLuO3;mp-6457;['La', 'La', 'La', 'La', 'Lu', 'Lu', 'Lu', 'Lu'];[3, 3, 3, 3, 3, 3, 3, 3];['8', '8', '8', '8', '6', '6', '6', '6'];{'La': {3: {'no': 160, 'corner': 32, 'edge': 32, 'face': 8}}, 'Lu': {3: {'no': 176, 'corner': 32, 'edge': 16, 'face': 8}}}
mp-23100;Sr2LuBiO6;mp-6457;['Sr', 'Sr', 'Sr', 'Sr', 'Lu', 'Lu', 'Bi', 'Bi'];[2, 2, 2, 2, 3, 3, 5, 5];['12', '12', '12', '12', '6', '6', '6', '6'];{'Sr': {2: {'no': 128, 'corner': 48, 'edge': 0, 'face': 56}}, 'Lu': {3: {'no': 88, 'corner': 12, 'edge': 0, 'face': 16}}, 'Bi': {5: {'no': 88, 'corner': 12, 'edge': 0, 'face': 16}}}
mp-24875;HoCoO3;mp-6457;['Co', 'Co', 'Co', 'Co', 'Ho', 'Ho', 'Ho', 'Ho'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9'];{'Co': {3: {'no': 224, 'corner': 32, 'edge': 8, 'face': 16}}, 'Ho': {3: {'no': 208, 'corner': 40, 'edge': 16, 'face': 24}}}
mp-557111;Sr3CaRu2O9;mp-6457;['Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Ca', 'Ca', 'Ca', 'Ca', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru', 'Ru'];[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5];['12', '12', '12', '12', '12', '12', '12', '12', '12', '12', '12', '12', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];{'Sr': {2: {'no': 384, 'corner': 144, 'edge': 0, 'face': 168}}, 'Ca': {2: {'no': 176, 'corner': 24, 'edge': 0, 'face': 32}}, 'Ru': {5: {'no': 352, 'corner': 48, 'edge': 0, 'face': 64}}}
mp-31118;SmScO3;mp-6457;['Sm', 'Sm', 'Sm', 'Sm', 'Sc', 'Sc', 'Sc', 'Sc'];[3, 3, 3, 3, 3, 3, 3, 3];['9', '9', '9', '9', '6', '6', '6', '6'];{'Sm': {3: {'no': 152, 'corner': 40, 'edge': 16, 'face': 24}}, 'Sc': {3: {'no': 176, 'corner': 32, 'edge': 8, 'face': 16}}}
mp-16415;LaPdO3;mp-6457;['Pd', 'Pd', 'Pd', 'Pd', 'La', 'La', 'La', 'La'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9'];{'Pd': {3: {'no': 184, 'corner': 32, 'edge': 8, 'face': 16}}, 'La': {3: {'no': 160, 'corner': 40, 'edge': 16, 'face': 24}}}
