mp-id;formula;cations;valences;CNs;Connections of Cations with Valences
mp-3200;Lu2Ti2O7;['Ti', 'Ti', 'Ti', 'Ti', 'Lu', 'Lu', 'Lu', 'Lu'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ti': {4: {'no': 264, 'corner': 24, 'edge': 24, 'face': 0}}, 'Lu': {3: {'no': 264, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-505306;Eu2Sn2O7;['Eu', 'Eu', 'Eu', 'Eu', 'Sn', 'Sn', 'Sn', 'Sn'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Eu': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-4991;Tb2Sn2O7;['Sn', 'Sn', 'Sn', 'Sn', 'Tb', 'Tb', 'Tb', 'Tb'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Tb': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-18797;Yb2V2O7;['V', 'V', 'V', 'V', 'Yb', 'Yb', 'Yb', 'Yb'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'V': {4: {'no': 264, 'corner': 24, 'edge': 24, 'face': 0}}, 'Yb': {3: {'no': 264, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-18831;Y2Mn2O7;['Mn', 'Mn', 'Mn', 'Mn', 'Y', 'Y', 'Y', 'Y'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Mn': {4: {'no': 264, 'corner': 24, 'edge': 24, 'face': 0}}, 'Y': {3: {'no': 264, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-5889;Er2Ti2O7;['Ti', 'Ti', 'Ti', 'Ti', 'Er', 'Er', 'Er', 'Er'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ti': {4: {'no': 264, 'corner': 24, 'edge': 24, 'face': 0}}, 'Er': {3: {'no': 264, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-12533;La2Hf2O7;['La', 'La', 'La', 'La', 'Hf', 'Hf', 'Hf', 'Hf'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'La': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Hf': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-20643;Y2Ru2O7;['Y', 'Y', 'Y', 'Y', 'Ru', 'Ru', 'Ru', 'Ru'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Y': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Ru': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-19679;Y2Mo2O7;['Y', 'Y', 'Y', 'Y', 'Mo', 'Mo', 'Mo', 'Mo'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Y': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Mo': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-641683;Eu2Ir2O7;['Eu', 'Eu', 'Eu', 'Eu', 'Ir', 'Ir', 'Ir', 'Ir'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Eu': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Ir': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-25554;Mn2Tl2O7;['Mn', 'Mn', 'Mn', 'Mn', 'Tl', 'Tl', 'Tl', 'Tl'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Mn': {4: {'no': 264, 'corner': 24, 'edge': 24, 'face': 0}}, 'Tl': {3: {'no': 264, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-17114;Nd2Sn2O7;['Sn', 'Sn', 'Sn', 'Sn', 'Nd', 'Nd', 'Nd', 'Nd'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Nd': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-3335;Sm2Ti2O7;['Ti', 'Ti', 'Ti', 'Ti', 'Sm', 'Sm', 'Sm', 'Sm'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ti': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Sm': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-19153;Lu2Mn2O7;['Mn', 'Mn', 'Mn', 'Mn', 'Lu', 'Lu', 'Lu', 'Lu'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Mn': {4: {'no': 264, 'corner': 24, 'edge': 24, 'face': 0}}, 'Lu': {3: {'no': 264, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-5977;Nd2Zr2O7;['Zr', 'Zr', 'Zr', 'Zr', 'Nd', 'Nd', 'Nd', 'Nd'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Zr': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Nd': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-554638;Ca2Ru2O7;['Ca', 'Ca', 'Ca', 'Ca', 'Ru', 'Ru', 'Ru', 'Ru'];[2, 2, 2, 2, 5, 5, 5, 5];['8', '8', '8', '8', '6', '6', '6', '6'];{'Ca': {2: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Ru': {5: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-3884;Ho2Sn2O7;['Sn', 'Sn', 'Sn', 'Sn', 'Ho', 'Ho', 'Ho', 'Ho'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Ho': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-642754;Gd2Mo2O7;['Gd', 'Gd', 'Gd', 'Gd', 'Mo', 'Mo', 'Mo', 'Mo'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Gd': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Mo': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-22094;Tl2Ru2O7;['Ru', 'Ru', 'Ru', 'Ru', 'Tl', 'Tl', 'Tl', 'Tl'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ru': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Tl': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-566186;Sm2Mo2O7;['Sm', 'Sm', 'Sm', 'Sm', 'Mo', 'Mo', 'Mo', 'Mo'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Sm': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Mo': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-25127;Lu2V2O7;['V', 'V', 'V', 'V', 'Lu', 'Lu', 'Lu', 'Lu'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'V': {4: {'no': 264, 'corner': 24, 'edge': 24, 'face': 0}}, 'Lu': {3: {'no': 264, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-756670;Eu2Pb2O7;['Eu', 'Eu', 'Eu', 'Eu', 'Pb', 'Pb', 'Pb', 'Pb'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Eu': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Pb': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-5950;Cd2Os2O7;['Cd', 'Cd', 'Cd', 'Cd', 'Os', 'Os', 'Os', 'Os'];[2, 2, 2, 2, 5, 5, 5, 5];['8', '8', '8', '8', '6', '6', '6', '6'];{'Cd': {2: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Os': {5: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-22259;Yb2Ru2O7;['Ru', 'Ru', 'Ru', 'Ru', 'Yb', 'Yb', 'Yb', 'Yb'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ru': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Yb': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-505552;Cd2Ru2O7;['Ru', 'Ru', 'Ru', 'Ru', 'Cd', 'Cd', 'Cd', 'Cd'];[5, 5, 5, 5, 2, 2, 2, 2];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ru': {5: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Cd': {2: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-14968;Dy2Ru2O7;['Ru', 'Ru', 'Ru', 'Ru', 'Dy', 'Dy', 'Dy', 'Dy'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ru': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Dy': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-4602;Tb2Ti2O7;['Ti', 'Ti', 'Ti', 'Ti', 'Tb', 'Tb', 'Tb', 'Tb'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ti': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Tb': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-19200;Tb2Mo2O7;['Mo', 'Mo', 'Mo', 'Mo', 'Tb', 'Tb', 'Tb', 'Tb'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Mo': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Tb': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
