mp-id;formula;structure_type;cations;valences;CNs
mp-28295;CsIO3;mp-28295;['I', 'I', 'Cs', 'Cs'];[5, 5, 1, 1];['6', '6', '12', '12']
mp-23482;BaBiO3;mp-28295;['Ba', 'Ba', 'Bi', 'Bi'];[2, 2, 5, 3];['12', '12', '6', '6']
mp-7249;Ba3Nb2ZnO9;mp-28295;['Zn', 'Nb', 'Nb', 'Ba', 'Ba', 'Ba'];[2, 5, 5, 2, 2, 2];['6', '6', '6', '12', '12', '12']
mp-4748;NaNbO3;mp-28295;['Na', 'Na', 'Na', 'Na', 'Nb', 'Nb', 'Nb', 'Nb'];[1, 1, 1, 1, 5, 5, 5, 5];['12', '12', '12', '12', '6', '6', '6', '6']
mp-20620;Ba2NbInO6;mp-28295;['Nb', 'In', 'Ba', 'Ba'];[5, 3, 2, 2];['6', '6', '12', '12']
mp-4651;SrTiO3;mp-28295;['Ti', 'Ti', 'Sr', 'Sr'];[4, 4, 2, 2];['6', '6', '12', '12']
mp-19245;BaLaMn2O6;mp-28295;['Mn', 'Mn', 'Ba', 'La'];[4, 4, 2, 2];['6', '6', '12', '12']
mp-21309;MgTe(PbO3)2;mp-28295;['Mg', 'Te', 'Pb', 'Pb'];[2, 6, 2, 2];['6', '6', '12', '12']
mp-5076;SrZrO3;mp-28295;['Sr', 'Sr', 'Zr', 'Zr'];[2, 2, 4, 4];['12', '12', '6', '6']
mp-6674;LiLa2SbO6;mp-28295;['Li', 'Li', 'Sb', 'Sb', 'La', 'La', 'La', 'La'];[1, 1, 5, 5, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12']
mp-13356;Ba2SrTeO6;mp-28295;['Sr', 'Te', 'Ba', 'Ba'];[2, 6, 2, 2];['6', '6', '12', '12']
mp-3626;SrZrO3;mp-28295;['Sr', 'Sr', 'Sr', 'Sr', 'Zr', 'Zr', 'Zr', 'Zr'];[2, 2, 2, 2, 4, 4, 4, 4];['12', '12', '12', '12', '6', '6', '6', '6']
mp-12866;SrSnO3;mp-28295;['Sr', 'Sr', 'Sn', 'Sn'];[2, 2, 4, 4];['12', '12', '6', '6']
mp-557296;Sr2MnSbO6;mp-28295;['Sb', 'Sr', 'Mn', 'Sr'];[5, 2, 3, 2];['6', '12', '6', '12']
mp-4900;BaCeO3;mp-28295;['Ba', 'Ba', 'Ce', 'Ce'];[2, 2, 4, 4];['12', '12', '6', '6']
mp-2920;LaAlO3;mp-28295;['Al', 'Al', 'La', 'La'];[3, 3, 3, 3];['6', '6', '12', '12']
mp-19350;LaVO3;mp-28295;['V', 'V', 'V', 'V', 'La', 'La', 'La', 'La'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12']
mp-19657;LaMnO3;mp-28295;['La', 'La', 'La', 'La', 'Mn', 'Mn', 'Mn', 'Mn'];[3, 3, 3, 3, 3, 3, 3, 3];['12', '12', '12', '12', '6', '6', '6', '6']
mp-23091;Ba2BiSbO6;mp-28295;['Sb', 'Ba', 'Ba', 'Bi'];[5, 2, 2, 3];['6', '12', '12', '6']
mp-20489;SrPbO3;mp-28295;['Sr', 'Sr', 'Sr', 'Sr', 'Pb', 'Pb', 'Pb', 'Pb'];[2, 2, 2, 2, 4, 4, 4, 4];['12', '12', '12', '12', '6', '6', '6', '6']
mp-29164;SrBiO3;mp-28295;['Sr', 'Sr', 'Sr', 'Sr', 'Bi', 'Bi', 'Bi', 'Bi'];[2, 2, 2, 2, 3, 3, 5, 5];['9', '9', '9', '9', '6', '6', '6', '6']
mp-17433;NaSr4(SbO4)3;mp-28295;['Na', 'Na', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sr', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb'];[1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 5, 5, 5];['6', '6', '12', '12', '12', '12', '12', '12', '12', '12', '6', '6', '6', '6', '6', '6']
mp-566330;Sr2MnMoO6;mp-28295;['Sr', 'Sr', 'Sr', 'Sr', 'Mn', 'Mn', 'Mo', 'Mo'];[2, 2, 2, 2, 2, 2, 6, 6];['12', '12', '12', '12', '6', '6', '6', '6']
mp-19168;LaMnO3;mp-28295;['Mn', 'Mn', 'La', 'La'];[3, 3, 3, 3];['6', '6', '12', '12']
mp-10339;SrNbO3;mp-28295;['Sr', 'Sr', 'Sr', 'Sr', 'Nb', 'Nb', 'Nb', 'Nb'];[2, 2, 2, 2, 4, 4, 4, 4];['12', '12', '12', '12', '6', '6', '6', '6']
mp-19377;LiLa2MoO6;mp-28295;['Li', 'Li', 'Mo', 'Mo', 'La', 'La', 'La', 'La'];[1, 1, 5, 5, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9']
mp-556407;Ba3Bi2TeO9;mp-28295;['Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Bi', 'Bi', 'Bi', 'Bi', 'Te', 'Te'];[2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 6, 6];['12', '12', '12', '12', '12', '12', '6', '6', '6', '6', '6', '6']
mp-565856;La2MnVO6;mp-28295;['La', 'La', 'La', 'La', 'Mn', 'Mn', 'V', 'V'];[3, 3, 3, 3, 2, 2, 4, 4];['12', '12', '12', '12', '6', '6', '6', '6']
mp-566058;CrBiO3;mp-28295;['Cr', 'Cr', 'Cr', 'Cr', 'Bi', 'Bi', 'Bi', 'Bi'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12']
mp-4681;NaNbO3;mp-28295;['Na', 'Na', 'Na', 'Na', 'Nb', 'Nb', 'Nb', 'Nb'];[1, 1, 1, 1, 5, 5, 5, 5];['12', '12', '12', '12', '6', '6', '6', '6']
mp-4387;SrZrO3;mp-28295;['Sr', 'Sr', 'Sr', 'Sr', 'Zr', 'Zr', 'Zr', 'Zr'];[2, 2, 2, 2, 4, 4, 4, 4];['12', '12', '12', '12', '6', '6', '6', '6']
mp-23487;KIO3;mp-28295;['K', 'K', 'K', 'K', 'I', 'I', 'I', 'I'];[1, 1, 1, 1, 5, 5, 5, 5];['12', '12', '12', '12', '6', '6', '6', '6']
mp-607467;CaMoO3;mp-28295;['Ca', 'Ca', 'Ca', 'Ca', 'Mo', 'Mo', 'Mo', 'Mo'];[2, 2, 2, 2, 4, 4, 4, 4];['9', '9', '9', '9', '6', '6', '6', '6']
