mp-id;formula;structure_type;cations;valences;CNs
mp-560151;AlPO4;mp-560151;['Al', 'Al', 'Al', 'P', 'P', 'P'];[3, 3, 3, 5, 5, 5];['4', '4', '4', '4', '4', '4']
mp-3955;AlPO4;mp-560151;['Al', 'Al', 'Al', 'P', 'P', 'P'];[3, 3, 3, 5, 5, 5];['4', '4', '4', '4', '4', '4']
mp-5331;AlPO4;mp-560151;['Al', 'Al', 'Al', 'P', 'P', 'P'];[3, 3, 3, 5, 5, 5];['4', '4', '4', '4', '4', '4']
mp-5189;AlAsO4;mp-560151;['Al', 'Al', 'Al', 'As', 'As', 'As'];[3, 3, 3, 5, 5, 5];['4', '4', '4', '4', '4', '4']
mp-19361;Cr2(SO4)3;mp-19361;['S', 'S', 'S', 'S', 'S', 'S', 'Cr', 'Cr', 'Cr', 'Cr'];[6, 6, 6, 6, 6, 6, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '6', '6', '6', '6']
mp-541450;In2(SO4)3;mp-19361;['In', 'In', 'In', 'In', 'S', 'S', 'S', 'S', 'S', 'S'];[3, 3, 3, 3, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '4', '4', '4', '4', '4', '4']
mp-541451;Ga2(SO4)3;mp-19361;['Ga', 'Ga', 'Ga', 'Ga', 'S', 'S', 'S', 'S', 'S', 'S'];[3, 3, 3, 3, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '4', '4', '4', '4', '4', '4']
mp-5859;AlPO4;mp-5859;['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4']
mp-667363;AlPO4;mp-5859;['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4']
mp-557362;AlPO4;mp-5859;['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4']
