mp-id;formula;structure_type;cations;valences;CNs
mp-715514;V2O3;mp-715514;['V', 'V', 'V', 'V'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-18937;V2O3;mp-715514;['V', 'V', 'V', 'V'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-19399;Cr2O3;mp-715514;['Cr', 'Cr', 'Cr', 'Cr'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-458;Ti2O3;mp-715514;['Ti', 'Ti', 'Ti', 'Ti'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-19177;CrO2;mp-19177;['Cr', 'Cr'];[4, 4];['6', '6']
mp-470;GeO2;mp-19177;['Ge', 'Ge'];[4, 4];['6', '6']
mp-550172;SnO2;mp-19177;['Sn', 'Sn'];[4, 4];['6', '6']
mp-856;SnO2;mp-19177;['Sn', 'Sn'];[4, 4];['6', '6']
mp-8352;SiO2;mp-8352;['Si', 'Si'];[4, 4];['4', '4']
mp-6945;SiO2;mp-8352;['Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4];['4', '4', '4', '4']
mp-556961;SiO2;mp-8352;['Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4, 4, 4, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4']
mp-8059;SiO2;mp-8352;['Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4, 4, 4, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4']
mp-10851;SiO2;mp-10851;['Si', 'Si', 'Si'];[4, 4, 4];['4', '4', '4']
mp-6922;SiO2;mp-10851;['Si', 'Si', 'Si'];[4, 4, 4];['4', '4', '4']
mp-7000;SiO2;mp-10851;['Si', 'Si', 'Si'];[4, 4, 4];['4', '4', '4']
