mp-id;formula;structure_type;cations;valences;CNs
mp-5126;ZnSO4;mp-5126;['S', 'S', 'S', 'S', 'Zn', 'Zn', 'Zn', 'Zn'];[6, 6, 6, 6, 2, 2, 2, 2];['4', '4', '4', '4', '6', '6', '6', '6']
mp-560670;MgSeO4;mp-5126;['Mg', 'Mg', 'Mg', 'Mg', 'Se', 'Se', 'Se', 'Se'];[2, 2, 2, 2, 6, 6, 6, 6];['6', '6', '6', '6', '4', '4', '4', '4']
mp-22569;InPO4;mp-5126;['P', 'P', 'P', 'P', 'In', 'In', 'In', 'In'];[5, 5, 5, 5, 3, 3, 3, 3];['4', '4', '4', '4', '6', '6', '6', '6']
mp-20525;CuSO4;mp-5126;['S', 'S', 'S', 'S', 'Cu', 'Cu', 'Cu', 'Cu'];[6, 6, 6, 6, 2, 2, 2, 2];['4', '4', '4', '4', '6', '6', '6', '6']
mp-554040;CuSeO4;mp-5126;['Cu', 'Cu', 'Cu', 'Cu', 'Se', 'Se', 'Se', 'Se'];[2, 2, 2, 2, 6, 6, 6, 6];['6', '6', '6', '6', '4', '4', '4', '4']
mp-19077;CrAsO4;mp-5126;['Cr', 'Cr', 'Cr', 'Cr', 'As', 'As', 'As', 'As'];[3, 3, 3, 3, 5, 5, 5, 5];['6', '6', '6', '6', '4', '4', '4', '4']
mp-4967;MgSO4;mp-5126;['Mg', 'Mg', 'Mg', 'Mg', 'S', 'S', 'S', 'S'];[2, 2, 2, 2, 6, 6, 6, 6];['6', '6', '6', '6', '4', '4', '4', '4']
mp-25050;MnSeO4;mp-5126;['Mn', 'Mn', 'Mn', 'Mn', 'Se', 'Se', 'Se', 'Se'];[2, 2, 2, 2, 6, 6, 6, 6];['6', '6', '6', '6', '4', '4', '4', '4']
mp-565794;MnSeO4;mp-565794;['Mn', 'Mn', 'Se', 'Se'];[2, 2, 6, 6];['6', '6', '4', '4']
mp-7566;InPO4;mp-565794;['P', 'P', 'In', 'In'];[5, 5, 3, 3];['4', '4', '6', '6']
mp-565466;NaV(SO4)2;mp-565794;['Na', 'V', 'S', 'S'];[1, 3, 6, 6];['6', '6', '4', '4']
mp-18835;VPO4;mp-565794;['P', 'P', 'V', 'V'];[5, 5, 3, 3];['4', '4', '6', '6']
mp-18906;CrPO4;mp-565794;['P', 'P', 'Cr', 'Cr'];[5, 5, 3, 3];['4', '4', '6', '6']
mp-7572;MgSO4;mp-565794;['Mg', 'Mg', 'S', 'S'];[2, 2, 6, 6];['6', '6', '4', '4']
mp-25006;MnSO4;mp-565794;['S', 'S', 'Mn', 'Mn'];[6, 6, 2, 2];['4', '4', '6', '6']
mp-17841;Mg4Nb2O9;mp-17841;['Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Nb', 'Nb', 'Nb', 'Nb'];[2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
mp-18937;V2O3;mp-17841;['V', 'V', 'V', 'V'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-3771;MgTiO3;mp-17841;['Mg', 'Mg', 'Ti', 'Ti'];[2, 2, 4, 4];['6', '6', '6', '6']
mp-19399;Cr2O3;mp-17841;['Cr', 'Cr', 'Cr', 'Cr'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-458;Ti2O3;mp-17841;['Ti', 'Ti', 'Ti', 'Ti'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-19082;TiMnO3;mp-17841;['Ti', 'Ti', 'Mn', 'Mn'];[4, 4, 2, 2];['6', '6', '6', '6']
mp-715514;V2O3;mp-17841;['V', 'V', 'V', 'V'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-7000;SiO2;mp-7000;['Si', 'Si', 'Si'];[4, 4, 4];['4', '4', '4']
mp-5331;AlPO4;mp-7000;['Al', 'Al', 'Al', 'P', 'P', 'P'];[3, 3, 3, 5, 5, 5];['4', '4', '4', '4', '4', '4']
mp-6922;SiO2;mp-7000;['Si', 'Si', 'Si'];[4, 4, 4];['4', '4', '4']
mp-5189;AlAsO4;mp-7000;['Al', 'Al', 'Al', 'As', 'As', 'As'];[3, 3, 3, 5, 5, 5];['4', '4', '4', '4', '4', '4']
