mp-id;formula;structure_type;cations;valences;CNs
mp-18748;Co3O4;mp-18748;['Co', 'Co', 'Co', 'Co', 'Co', 'Co'];[3, 3, 3, 3, 2, 2];['6', '6', '6', '6', '4', '4']
mp-31770;Fe3O4;mp-18748;['Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe'];[2, 2, 3, 3, 3, 3];['6', '6', '4', '6', '6', '4']
mp-19306;Fe3O4;mp-18748;['Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe'];[3, 3, 3, 3, 2, 2];['6', '6', '6', '6', '4', '4']
mp-18759;Mn3O4;mp-18748;['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn'];[2, 2, 3, 3, 3, 3];['4', '4', '6', '6', '6', '6']
mp-1788;As2O5;mp-1788;['As', 'As', 'As', 'As', 'As', 'As', 'As', 'As'];[5, 5, 5, 5, 5, 5, 5, 5];['4', '4', '4', '4', '6', '6', '6', '6']
mp-555434;As2O5;mp-1788;['As', 'As', 'As', 'As', 'As', 'As', 'As', 'As'];[5, 5, 5, 5, 5, 5, 5, 5];['6', '4', '4', '4', '6', '6', '4', '6']
mp-22633;Pb3O4;mp-22633;['Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb'];[2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4];['3', '3', '3', '3', '3', '3', '3', '3', '6', '6', '6', '6']
mp-21452;Pb3O4;mp-22633;['Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb'];[2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4];['3', '3', '3', '3', '3', '3', '3', '3', '6', '6', '6', '6']
mp-18922;Mn5O8;mp-18922;['Mn', 'Mn', 'Mn', 'Mn', 'Mn'];[3, 3, 3, 3, 4];['6', '6', '6', '6', '6']
mp-622640;V3O7;mp-622640;['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'];[5, 5, 4, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 4, 4, 5, 4, 5];['3', '3', '6', '3', '3', '3', '6', '6', '6', '3', '6', '3', '3', '6', '6', '6', '6', '6']
mp-561240;Mo5O14;mp-561240;['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4']
mp-22869;ClO3;mp-22869;['Cl', 'Cl', 'Cl', 'Cl'];[7, 7, 5, 5];['4', '4', '2', '2']
mp-622101;Mo4O11;mp-622101;['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5];['4', '4', '4', '4', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
mp-12177;Te2O5;mp-12177;['Te', 'Te', 'Te', 'Te'];[4, 4, 6, 6];['5', '5', '6', '6']
mp-556480;Ti3O5;mp-556480;['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti'];[3, 3, 3, 3, 4, 4];['5', '6', '5', '6', '6', '6']
mp-504769;N2O5;mp-504769;['N', 'N', 'N', 'N'];[5, 5, 5, 5];['2', '3', '2', '3']
mp-541846;P4O9;mp-541846;['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P'];[3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];['3', '3', '3', '3', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4']
mp-1478;Cu4O3;mp-1478;['Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu'];[2, 2, 2, 2, 1, 1, 1, 1];['4', '4', '4', '4', '2', '2', '2', '2']
mp-560402;U3O8;mp-560402;['U', 'U', 'U', 'U', 'U', 'U'];[6, 5, 5, 6, 5, 5];['7', '7', '6', '7', '7', '6']
mp-30303;Bi4O7;mp-30303;['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi'];[5, 3, 3, 5, 3, 3, 3, 3];['6', '5', '5', '6', '7', '7', '8', '8']
