mp-id;formula;structure_type;cations;valences;CNs
mp-5020;BaTiO3;mp-5020;['Ti', 'Ba'];[4, 2];['6', '12']
mp-5076;SrZrO3;mp-5020;['Sr', 'Sr', 'Zr', 'Zr'];[2, 2, 4, 4];['12', '12', '6', '6']
mp-3474;LaCuO3;mp-5020;['Cu', 'Cu', 'La', 'La'];[3, 3, 3, 3];['6', '6', '12', '12']
mp-19339;LaNiO3;mp-5020;['Ni', 'Ni', 'La', 'La'];[3, 3, 3, 3];['6', '6', '12', '12']
mp-19168;LaMnO3;mp-5020;['Mn', 'Mn', 'La', 'La'];[3, 3, 3, 3];['6', '6', '12', '12']
mp-540832;EuFeO3;mp-5020;['Eu', 'Eu', 'Eu', 'Eu', 'Fe', 'Fe', 'Fe', 'Fe'];[3, 3, 3, 3, 3, 3, 3, 3];['12', '12', '12', '12', '6', '6', '6', '6']
mp-24999;YFeO3;mp-5020;['Fe', 'Fe', 'Fe', 'Fe', 'Y', 'Y', 'Y', 'Y'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9']
mp-24951;YbFeO3;mp-5020;['Fe', 'Fe', 'Fe', 'Fe', 'Yb', 'Yb', 'Yb', 'Yb'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12']
mp-613820;KIO3;mp-5020;['K', 'K', 'K', 'K', 'I', 'I', 'I', 'I'];[1, 1, 1, 1, 5, 5, 5, 5];['12', '12', '12', '12', '6', '6', '6', '6']
mp-566636;Ca2MnSbO6;mp-5020;['Ca', 'Ca', 'Ca', 'Ca', 'Mn', 'Mn', 'Sb', 'Sb'];[2, 2, 2, 2, 3, 3, 5, 5];['12', '12', '12', '12', '6', '6', '6', '6']
mp-25051;NdMnO3;mp-5020;['Mn', 'Mn', 'Mn', 'Mn', 'Nd', 'Nd', 'Nd', 'Nd'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9']
mp-4419;NaNbO3;mp-5020;['Na', 'Na', 'Nb', 'Nb'];[1, 1, 5, 5];['12', '12', '6', '6']
mp-558206;K9U6BiO24;mp-5020;['K', 'K', 'K', 'K', 'K', 'K', 'K', 'K', 'K', 'U', 'U', 'U', 'U', 'U', 'U', 'Bi'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 6, 6, 6, 6, 6, 3];['6', '12', '12', '12', '12', '12', '12', '12', '12', '6', '6', '6', '6', '6', '6', '6']
mp-8218;PrAlO3;mp-5020;['Al', 'Al', 'Pr', 'Pr'];[3, 3, 3, 3];['6', '6', '12', '12']
mp-19051;LaCoO3;mp-5020;['Co', 'Co', 'La', 'La'];[3, 3, 3, 3];['6', '6', '12', '12']
mp-4126;KUO3;mp-5020;['K', 'U'];[1, 5];['12', '6']
mp-505025;BaPuO3;mp-5020;['Ba', 'Ba', 'Ba', 'Ba', 'Pu', 'Pu', 'Pu', 'Pu'];[2, 2, 2, 2, 4, 4, 4, 4];['12', '12', '12', '12', '6', '6', '6', '6']
mp-7980;Ba3SrTa2O9;mp-5020;['Sr', 'Ba', 'Ba', 'Ba', 'Ta', 'Ta'];[2, 2, 2, 2, 5, 5];['6', '12', '12', '12', '6', '6']
mp-4170;NaTaO3;mp-5020;['Na', 'Ta'];[1, 5];['12', '6']
mp-19281;LaCrO3;mp-5020;['Cr', 'Cr', 'Cr', 'Cr', 'La', 'La', 'La', 'La'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12']
mp-25150;CaVO3;mp-5020;['Ca', 'Ca', 'Ca', 'Ca', 'V', 'V', 'V', 'V'];[2, 2, 2, 2, 4, 4, 4, 4];['12', '12', '12', '12', '6', '6', '6', '6']
mp-541919;GdNiO3;mp-5020;['Gd', 'Gd', 'Gd', 'Gd', 'Ni', 'Ni', 'Ni', 'Ni'];[3, 3, 3, 3, 3, 3, 3, 3];['9', '9', '9', '9', '6', '6', '6', '6']
mp-16137;K4CaU3O12;mp-5020;['K', 'K', 'K', 'K', 'Ca', 'U', 'U', 'U'];[1, 1, 1, 1, 2, 6, 6, 6];['12', '12', '12', '12', '6', '6', '6', '6']
mp-12867;SrSnO3;mp-5020;['Sr', 'Sr', 'Sn', 'Sn'];[2, 2, 4, 4];['12', '12', '6', '6']
mp-18983;ErNiO3;mp-5020;['Ni', 'Ni', 'Ni', 'Ni', 'Er', 'Er', 'Er', 'Er'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9']
mp-19322;BaMoO3;mp-5020;['Mo', 'Ba'];[4, 2];['6', '12']
mp-19170;PrNiO3;mp-5020;['Ni', 'Ni', 'Pr', 'Pr'];[3, 3, 3, 3];['6', '6', '12', '12']
mp-4699;NaTaO3;mp-5020;['Na', 'Na', 'Na', 'Na', 'Ta', 'Ta', 'Ta', 'Ta'];[1, 1, 1, 1, 5, 5, 5, 5];['12', '12', '12', '12', '6', '6', '6', '6']
mp-24952;TbFeO3;mp-5020;['Fe', 'Fe', 'Fe', 'Fe', 'Tb', 'Tb', 'Tb', 'Tb'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9']
mp-7971;Ba4Li(SbO4)3;mp-5020;['Li', 'Sb', 'Sb', 'Sb', 'Ba', 'Ba', 'Ba', 'Ba'];[1, 5, 5, 5, 2, 2, 2, 2];['6', '6', '6', '6', '12', '12', '12', '12']
mp-25588;SmNiO3;mp-5020;['Ni', 'Ni', 'Ni', 'Ni', 'Sm', 'Sm', 'Sm', 'Sm'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12']
mp-16415;LaPdO3;mp-5020;['Pd', 'Pd', 'Pd', 'Pd', 'La', 'La', 'La', 'La'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9']
mp-3163;BaSnO3;mp-5020;['Sn', 'Ba'];[4, 2];['6', '12']
mp-19274;BaPrMn2O6;mp-5020;['Mn', 'Mn', 'Ba', 'Pr'];[4, 4, 2, 2];['6', '6', '12', '12']
mp-12992;BaTiO3;mp-5020;['Ti', 'Ba'];[4, 2];['6', '12']
mp-5163;LaRhO3;mp-5020;['Rh', 'Rh', 'Rh', 'Rh', 'La', 'La', 'La', 'La'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9']
mp-3020;BaNbO3;mp-5020;['Nb', 'Ba'];[4, 2];['6', '12']
mp-19801;EuRhO3;mp-5020;['Rh', 'Rh', 'Rh', 'Rh', 'Eu', 'Eu', 'Eu', 'Eu'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9']
mp-27193;RbIO3;mp-5020;['Rb', 'I'];[1, 5];['12', '6']
mp-559756;PrScO3;mp-5020;['Pr', 'Pr', 'Pr', 'Pr', 'Sc', 'Sc', 'Sc', 'Sc'];[3, 3, 3, 3, 3, 3, 3, 3];['9', '9', '9', '9', '6', '6', '6', '6']
mp-22246;EuTiO3;mp-5020;['Ti', 'Eu'];[4, 2];['6', '12']
mp-3792;YAlO3;mp-5020;['Al', 'Al', 'Al', 'Al', 'Y', 'Y', 'Y', 'Y'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12']
mp-566058;CrBiO3;mp-5020;['Cr', 'Cr', 'Cr', 'Cr', 'Bi', 'Bi', 'Bi', 'Bi'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12']
mp-2998;BaTiO3;mp-5020;['Ti', 'Ba'];[4, 2];['6', '12']
mp-4582;NdRhO3;mp-5020;['Rh', 'Rh', 'Rh', 'Rh', 'Nd', 'Nd', 'Nd', 'Nd'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9']
mp-9319;Ba2PrPtO6;mp-5020;['Ba', 'Ba', 'Pr', 'Pt'];[2, 2, 4, 4];['12', '12', '6', '6']
mp-24875;HoCoO3;mp-5020;['Co', 'Co', 'Co', 'Co', 'Ho', 'Ho', 'Ho', 'Ho'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9']
mp-25765;CaLaMn2O6;mp-5020;['Ca', 'Ca', 'Ca', 'Ca', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'La', 'La', 'La', 'La'];[2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2];['12', '12', '12', '12', '6', '6', '6', '6', '6', '6', '6', '6', '12', '12', '12', '12']
mp-13369;Ba3CaIr2O9;mp-5020;['Ca', 'Ba', 'Ba', 'Ba', 'Ir', 'Ir'];[2, 2, 2, 2, 5, 5];['6', '12', '12', '12', '6', '6']
mp-638406;Ba3MnNb2O9;mp-5020;['Mn', 'Nb', 'Nb', 'Ba', 'Ba', 'Ba'];[2, 5, 5, 2, 2, 2];['6', '6', '6', '12', '12', '12']
mp-7405;SmAlO3;mp-5020;['Al', 'Al', 'Al', 'Al', 'Sm', 'Sm', 'Sm', 'Sm'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12']
mp-542920;LaFeO3;mp-5020;['Fe', 'Fe', 'Fe', 'Fe', 'La', 'La', 'La', 'La'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12']
mp-22981;TlIO3;mp-5020;['I', 'Tl'];[5, 1];['6', '12']
mp-22013;LaTiO3;mp-5020;['Ti', 'Ti', 'Ti', 'Ti', 'La', 'La', 'La', 'La'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12']
mp-541177;GdVO3;mp-5020;['Gd', 'Gd', 'Gd', 'Gd', 'V', 'V', 'V', 'V'];[3, 3, 3, 3, 3, 3, 3, 3];['9', '9', '9', '9', '6', '6', '6', '6']
mp-669414;HfPbO3;mp-5020;['Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb'];[4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2];['6', '6', '6', '6', '6', '6', '6', '6', '12', '12', '12', '12', '12', '12', '12', '12']
mp-4535;PrGaO3;mp-5020;['Ga', 'Ga', 'Ga', 'Ga', 'Pr', 'Pr', 'Pr', 'Pr'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12']
mp-10339;SrNbO3;mp-5020;['Sr', 'Sr', 'Sr', 'Sr', 'Nb', 'Nb', 'Nb', 'Nb'];[2, 2, 2, 2, 4, 4, 4, 4];['12', '12', '12', '12', '6', '6', '6', '6']
mp-556003;CaTiO3;mp-5020;['Ca', 'Ca', 'Ca', 'Ca', 'Ti', 'Ti', 'Ti', 'Ti'];[2, 2, 2, 2, 4, 4, 4, 4];['12', '12', '12', '12', '6', '6', '6', '6']
mp-4900;BaCeO3;mp-5020;['Ba', 'Ba', 'Ce', 'Ce'];[2, 2, 4, 4];['12', '12', '6', '6']
mp-5304;LaAlO3;mp-5020;['Al', 'La'];[3, 3];['6', '12']
mp-4789;PrRhO3;mp-5020;['Rh', 'Rh', 'Rh', 'Rh', 'Pr', 'Pr', 'Pr', 'Pr'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9']
mp-559352;Ba4Na(BiO4)3;mp-5020;['Ba', 'Ba', 'Ba', 'Ba', 'Na', 'Bi', 'Bi', 'Bi'];[2, 2, 2, 2, 1, 5, 5, 5];['12', '12', '12', '12', '6', '6', '6', '6']
mp-20461;BaPbO3;mp-5020;['Ba', 'Ba', 'Pb', 'Pb'];[2, 2, 4, 4];['12', '12', '6', '6']
mp-638632;ErCoO3;mp-5020;['Er', 'Er', 'Er', 'Er', 'Co', 'Co', 'Co', 'Co'];[3, 3, 3, 3, 3, 3, 3, 3];['9', '9', '9', '9', '6', '6', '6', '6']
mp-5246;KNbO3;mp-5020;['K', 'Nb'];[1, 5];['12', '6']
mp-32310;Ba3Ta2NiO9;mp-5020;['Ni', 'Ba', 'Ba', 'Ba', 'Ta', 'Ta'];[2, 2, 2, 2, 5, 5];['6', '12', '12', '12', '6', '6']
mp-19115;CaFeO3;mp-5020;['Ca', 'Ca', 'Ca', 'Ca', 'Fe', 'Fe', 'Fe', 'Fe'];[2, 2, 2, 2, 4, 4, 4, 4];['12', '12', '12', '12', '6', '6', '6', '6']
mp-28295;CsIO3;mp-5020;['I', 'I', 'Cs', 'Cs'];[5, 5, 1, 1];['6', '6', '12', '12']
