mp-id;formula;structure_type;cations;valences;CNs
mp-2136;Sb2O3;mp-2136;['Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb'];[3, 3, 3, 3, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '4', '4']
mp-556549;Bi2O3;mp-2136;['Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi', 'Bi'];[3, 3, 3, 3, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '4', '4']
mp-7048;Al2O3;mp-7048;['Al', 'Al', 'Al', 'Al'];[3, 3, 3, 3];['4', '4', '6', '6']
mp-886;Ga2O3;mp-7048;['Ga', 'Ga', 'Ga', 'Ga'];[3, 3, 3, 3];['6', '6', '4', '4']
mp-19066;W3O8;mp-19066;['W', 'W', 'W'];[5, 5, 6];['7', '7', '6']
mp-698;U3O8;mp-19066;['U', 'U', 'U'];[5, 5, 6];['7', '7', '6']
mp-11107;Ac2O3;mp-11107;['Ac', 'Ac'];[3, 3];['8', '8']
mp-1968;La2O3;mp-11107;['La', 'La'];[3, 3];['8', '8']
mp-1788;As2O5;mp-1788;['As', 'As', 'As', 'As', 'As', 'As', 'As', 'As'];[5, 5, 5, 5, 5, 5, 5, 5];['4', '4', '4', '4', '6', '6', '6', '6']
mp-555434;As2O5;mp-1788;['As', 'As', 'As', 'As', 'As', 'As', 'As', 'As'];[5, 5, 5, 5, 5, 5, 5, 5];['6', '4', '4', '4', '6', '6', '4', '6']
mp-554278;TiO2;mp-554278;['Ti', 'Ti', 'Ti', 'Ti'];[4, 4, 4, 4];['6', '6', '6', '6']
mp-561637;VO2;mp-554278;['V', 'V', 'V', 'V'];[4, 4, 4, 4];['6', '6', '6', '6']
mp-622497;V3O5;mp-622497;['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'];[4, 4, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
mp-556754;Ti3O5;mp-622497;['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti'];[3, 3, 3, 3, 4, 4];['6', '6', '6', '6', '6', '6']
mp-8057;Ti3O5;mp-8057;['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti'];[4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '6', '6']
