mp-id;formula;structure_type;cations;valences;CNs
mp-6325;Ba3MgTa2O9;mp-6325;['Mg', 'Ba', 'Ba', 'Ba', 'Ta', 'Ta'];[2, 2, 2, 2, 5, 5];['6', '12', '12', '12', '6', '6']
mp-32310;Ba3Ta2NiO9;mp-6325;['Ni', 'Ba', 'Ba', 'Ba', 'Ta', 'Ta'];[2, 2, 2, 2, 5, 5];['6', '12', '12', '12', '6', '6']
mp-559352;Ba4Na(BiO4)3;mp-6325;['Ba', 'Ba', 'Ba', 'Ba', 'Na', 'Bi', 'Bi', 'Bi'];[2, 2, 2, 2, 1, 5, 5, 5];['12', '12', '12', '12', '6', '6', '6', '6']
mp-600864;Ba3Nb2CoO9;mp-6325;['Co', 'Nb', 'Nb', 'Ba', 'Ba', 'Ba'];[2, 5, 5, 2, 2, 2];['6', '6', '6', '12', '12', '12']
mp-6474;Ba3MgNb2O9;mp-6325;['Mg', 'Nb', 'Nb', 'Ba', 'Ba', 'Ba'];[2, 5, 5, 2, 2, 2];['6', '6', '6', '12', '12', '12']
mp-7249;Ba3Nb2ZnO9;mp-6325;['Zn', 'Nb', 'Nb', 'Ba', 'Ba', 'Ba'];[2, 5, 5, 2, 2, 2];['6', '6', '6', '12', '12', '12']
mp-5156;ThP2O7;mp-5156;['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Th', 'Th', 'Th', 'Th'];[5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6']
mp-565725;ZrV2O7;mp-5156;['Zr', 'Zr', 'Zr', 'Zr', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'];[4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5];['6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4']
mp-5024;ZrP2O7;mp-5156;['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Zr', 'Zr', 'Zr', 'Zr'];[5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6']
mp-505679;HfV2O7;mp-5156;['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'Hf', 'Hf', 'Hf', 'Hf'];[5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6']
mp-22524;CeP2O7;mp-5156;['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Ce', 'Ce', 'Ce', 'Ce'];[5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6']
mp-542006;P2WO7;mp-5156;['W', 'W', 'W', 'W', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P'];[4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5];['6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4']
mp-542453;NbPO5;mp-542453;['Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P'];[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4']
mp-32407;TaVO5;mp-542453;['V', 'V', 'V', 'V', 'Ta', 'Ta', 'Ta', 'Ta'];[5, 5, 5, 5, 5, 5, 5, 5];['4', '4', '4', '4', '6', '6', '6', '6']
mp-556918;NbPO5;mp-542453;['Nb', 'Nb', 'Nb', 'Nb', 'P', 'P', 'P', 'P'];[5, 5, 5, 5, 5, 5, 5, 5];['6', '6', '6', '6', '4', '4', '4', '4']
mp-5803;NbPO5;mp-542453;['P', 'P', 'P', 'P', 'Nb', 'Nb', 'Nb', 'Nb'];[5, 5, 5, 5, 5, 5, 5, 5];['4', '4', '4', '4', '6', '6', '6', '6']
mp-32311;Re2NiO8;mp-32311;['Ni', 'Re', 'Re'];[2, 7, 7];['6', '4', '4']
mp-704604;Zr(MoO4)2;mp-32311;['Zr', 'Zr', 'Zr', 'Zr', 'Zr', 'Zr', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4']
mp-627380;Mn(ReO4)2;mp-32311;['Mn', 'Re', 'Re'];[2, 7, 7];['6', '4', '4']
mp-540966;Ni(ClO4)2;mp-540966;['Ni', 'Cl', 'Cl'];[2, 7, 7];['6', '4', '4']
mp-31621;Co(ClO4)2;mp-540966;['Cl', 'Cl', 'Co'];[7, 7, 2];['4', '4', '6']
mp-504769;N2O5;mp-504769;['N', 'N', 'N', 'N'];[5, 5, 5, 5];['2', '3', '2', '3']
mp-557754;ZrP2O7;mp-557754;['Zr', 'Zr', 'P', 'P', 'P', 'P'];[4, 4, 5, 5, 5, 5];['6', '6', '4', '4', '4', '4']
mp-505078;BaNb7O9;mp-505078;['Ba', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb'];[2, 2, 2, 2, 2, 2, 3, 3];['12', '4', '4', '4', '4', '4', '5', '5']
mp-6520;Ba3MgRu2O9;mp-6520;['Mg', 'Mg', 'Ru', 'Ru', 'Ru', 'Ru', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba', 'Ba'];[2, 2, 5, 5, 5, 5, 2, 2, 2, 2, 2, 2];['6', '6', '6', '6', '6', '6', '12', '12', '12', '12', '12', '12']
mp-19796;Ba2Nb5O9;mp-19796;['Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Ba', 'Ba'];[2, 3, 3, 3, 3, 2, 2];['6', '5', '5', '4', '4', '12', '12']
mp-27791;SrBe3O4;mp-27791;['Be', 'Be', 'Be', 'Be', 'Be', 'Be', 'Sr', 'Sr'];[2, 2, 2, 2, 2, 2, 2, 2];['3', '3', '4', '4', '4', '4', '3', '3']
mp-22869;ClO3;mp-22869;['Cl', 'Cl', 'Cl', 'Cl'];[7, 7, 5, 5];['4', '4', '2', '2']
mp-27774;NClO6;mp-27774;['N', 'N', 'Cl', 'Cl'];[5, 5, 7, 7];['2', '2', '4', '4']
mp-505517;BaNb4O6;mp-505517;['Ba', 'Nb', 'Nb', 'Nb', 'Nb'];[2, 2, 2, 3, 3];['12', '4', '4', '5', '5']
