mp-id;formula;structure_type;cations;valences;CNs;Connections of Cations with Valences
mp-17113;Sm2Ru2O7;mp-17113;['Ru', 'Ru', 'Ru', 'Ru', 'Sm', 'Sm', 'Sm', 'Sm'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ru': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Sm': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-554638;Ca2Ru2O7;mp-17113;['Ca', 'Ca', 'Ca', 'Ca', 'Ru', 'Ru', 'Ru', 'Ru'];[2, 2, 2, 2, 5, 5, 5, 5];['8', '8', '8', '8', '6', '6', '6', '6'];{'Ca': {2: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Ru': {5: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-637431;Eu2Ru2O7;mp-17113;['Eu', 'Eu', 'Eu', 'Eu', 'Ru', 'Ru', 'Ru', 'Ru'];[2, 2, 2, 2, 5, 5, 5, 5];['8', '8', '8', '8', '6', '6', '6', '6'];{'Eu': {2: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Ru': {5: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-17114;Nd2Sn2O7;mp-17113;['Sn', 'Sn', 'Sn', 'Sn', 'Nd', 'Nd', 'Nd', 'Nd'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Nd': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-3611;Dy2Hf2O7;mp-17113;['Dy', 'Dy', 'Dy', 'Dy', 'Hf', 'Hf', 'Hf', 'Hf'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Dy': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Hf': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-13801;Tl2Pt2O7;mp-17113;['Pt', 'Pt', 'Pt', 'Pt', 'Tl', 'Tl', 'Tl', 'Tl'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Pt': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Tl': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-566468;Er2V2O7;mp-17113;['Er', 'Er', 'Er', 'Er', 'V', 'V', 'V', 'V'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Er': {3: {'no': 264, 'corner': 0, 'edge': 48, 'face': 0}}, 'V': {4: {'no': 264, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-4602;Tb2Ti2O7;mp-17113;['Ti', 'Ti', 'Ti', 'Ti', 'Tb', 'Tb', 'Tb', 'Tb'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ti': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Tb': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-18831;Y2Mn2O7;mp-17113;['Mn', 'Mn', 'Mn', 'Mn', 'Y', 'Y', 'Y', 'Y'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Mn': {4: {'no': 264, 'corner': 24, 'edge': 24, 'face': 0}}, 'Y': {3: {'no': 264, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-3200;Lu2Ti2O7;mp-17113;['Ti', 'Ti', 'Ti', 'Ti', 'Lu', 'Lu', 'Lu', 'Lu'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ti': {4: {'no': 264, 'corner': 24, 'edge': 24, 'face': 0}}, 'Lu': {3: {'no': 264, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-5373;Y2Ti2O7;mp-17113;['Ti', 'Ti', 'Ti', 'Ti', 'Y', 'Y', 'Y', 'Y'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ti': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Y': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-560530;Nb2Cd2O7;mp-17113;['Nb', 'Nb', 'Nb', 'Nb', 'Cd', 'Cd', 'Cd', 'Cd'];[5, 5, 5, 5, 2, 2, 2, 2];['6', '6', '6', '6', '8', '8', '8', '8'];{'Nb': {5: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Cd': {2: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-19679;Y2Mo2O7;mp-17113;['Y', 'Y', 'Y', 'Y', 'Mo', 'Mo', 'Mo', 'Mo'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Y': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Mo': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-25127;Lu2V2O7;mp-17113;['V', 'V', 'V', 'V', 'Lu', 'Lu', 'Lu', 'Lu'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'V': {4: {'no': 264, 'corner': 24, 'edge': 24, 'face': 0}}, 'Lu': {3: {'no': 264, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-505801;Eu2Ti2O7;mp-17113;['Eu', 'Eu', 'Eu', 'Eu', 'Ti', 'Ti', 'Ti', 'Ti'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Eu': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Ti': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-23341;Bi2Pt2O7;mp-17113;['Pt', 'Pt', 'Pt', 'Pt', 'Bi', 'Bi', 'Bi', 'Bi'];[2, 2, 2, 2, 5, 5, 5, 5];['6', '6', '6', '6', '8', '8', '8', '8'];{'Pt': {2: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Bi': {5: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-557697;Hg2Sb2O7;mp-17113;['Hg', 'Hg', 'Hg', 'Hg', 'Sb', 'Sb', 'Sb', 'Sb'];[2, 2, 2, 2, 5, 5, 5, 5];['8', '8', '8', '8', '6', '6', '6', '6'];{'Hg': {2: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Sb': {5: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-685944;Eu2Zr2O7;mp-17113;['Eu', 'Eu', 'Eu', 'Eu', 'Zr', 'Zr', 'Zr', 'Zr'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Eu': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Zr': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-558131;Sm2Tc2O7;mp-17113;['Sm', 'Sm', 'Sm', 'Sm', 'Tc', 'Tc', 'Tc', 'Tc'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Sm': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Tc': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-2883;Sm2Sn2O7;mp-17113;['Sn', 'Sn', 'Sn', 'Sn', 'Sm', 'Sm', 'Sm', 'Sm'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Sm': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-15170;Lu2Sn2O7;mp-17113;['Sn', 'Sn', 'Sn', 'Sn', 'Lu', 'Lu', 'Lu', 'Lu'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Lu': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-641683;Eu2Ir2O7;mp-17113;['Eu', 'Eu', 'Eu', 'Eu', 'Ir', 'Ir', 'Ir', 'Ir'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Eu': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Ir': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-25554;Mn2Tl2O7;mp-17113;['Mn', 'Mn', 'Mn', 'Mn', 'Tl', 'Tl', 'Tl', 'Tl'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Mn': {4: {'no': 264, 'corner': 24, 'edge': 24, 'face': 0}}, 'Tl': {3: {'no': 264, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-19674;Sc2Mn2O7;mp-17113;['Sc', 'Sc', 'Sc', 'Sc', 'Mn', 'Mn', 'Mn', 'Mn'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Sc': {3: {'no': 264, 'corner': 0, 'edge': 48, 'face': 0}}, 'Mn': {4: {'no': 264, 'corner': 24, 'edge': 24, 'face': 0}}}
